Ev[MeV]	Aeff[MeV-2]
1.816	-0.0000000000
1.916	-0.0000000000
2.016	-0.0000000000
2.116	-0.0000000000
2.216	-0.0000000000
2.316	-0.0000000000
2.416	-0.0000000000
2.516	-0.0000000000
2.616	-0.0000000000
2.716	-0.0000000000
2.816	-0.0000000000
2.916	-0.0000000000
3.016	-0.0000000000
3.116	-0.0000000000
3.216	-0.0000000000
3.316	-0.0000000000
3.416	-0.0000000000
3.516	-0.0000000000
3.616	-0.0000000000
3.716	-0.0000000000
3.816	-0.0000000000
3.916	0.0000000000
4.016	0.0000000000
4.116	0.0000000000
4.216	0.0000000000
4.316	0.0000000000
4.416	0.0000000000
4.516	0.0000000000
4.616	0.0000000170
4.716	0.0000001482
4.816	0.0000011284
4.916	0.0000074473
5.016	0.0000431899
5.116	0.0002227521
5.216	0.0010324599
5.316	0.0043405550
5.416	0.0166875306
5.516	0.0590989003
5.616	0.1940615370
5.716	0.5943138877
5.816	1.7064778587
5.916	4.6159955732
6.016	11.8137436413
6.116	28.7192439936
6.216	66.5541791429
6.316	147.5069442243
6.416	313.6037187793
6.516	641.3126787363
6.616	1264.6465265780
6.716	2410.3620141966
6.816	4449.7241601504
6.916	7972.1215036227
7.016	13886.4796087998
7.116	23556.8039412654
7.216	38978.1725042001
7.316	62998.9923886875
7.416	99594.2636996839
7.516	154192.9346789974
7.616	234060.2113458317
7.716	348732.9865957292
7.816	510503.5114038240
7.916	734943.2197873649
8.016	1041455.4416414052
8.116	1453842.8053607028
8.216	2000872.6488956176
8.316	2716821.9019455831
8.416	3641981.8124342700
8.516	4823102.6568833673
8.616	6313759.2316454127
8.716	8174619.4496070668
8.816	10473600.6927715428
8.916	13285901.5788207706
9.016	16693900.3390775528
9.116	20786914.9036250077
9.216	25660823.8638024367
9.316	31417551.5512569137
9.416	38164424.3660673499
9.516	46013409.0538638756
9.616	55080246.7491052225
9.716	65483499.1743406281
9.816	77343525.3506259471
9.916	90781408.5005522370
10.016	105917853.5104614049
10.116	122872075.3857528120
10.216	141760698.6284407675
10.316	162696686.4517370164
10.416	185788317.2974400520
10.516	211138224.3210193515
10.616	238842511.4420359135
10.716	268989957.3096356392
10.816	301661316.1853567958
10.916	336928722.3739569187
11.016	374855202.5038064718
11.116	415494297.7295804620
11.216	458889795.8479678035
11.316	505075571.4198477864
11.416	554075530.3056545258
11.516	605903653.5625262260
11.616	660564134.4312182665
11.716	718051601.1580935717
11.816	778351417.6484124660
11.916	841440053.4202449322
12.016	907285514.0094200373
12.116	975847822.8461997509
12.216	1047079545.6646221876
12.316	1120926348.6931972504
12.416	1197327582.1906099319
12.516	1276216881.3079574108
12.616	1357522776.7621903419
12.716	1441169308.3703689575
12.816	1527076635.1062574387
12.916	1615161635.9793207645
13.016	1705338496.6898100376
13.116	1797519277.6661338806
13.216	1891614459.7339050770
13.316	1987533464.2879638672
13.416	2085185145.4330227375
13.516	2184478252.1197872162
13.616	2285321858.8255014420
13.716	2387625763.8091187477
13.816	2491300854.4087128639
13.916	2596259439.2429032326
14.016	2702415547.5267090797
14.116	2809685196.0182685852
14.216	2917986624.3768558502
14.316	3027240499.9357128143
14.416	3137370093.0795426369
14.516	3248301424.5651888847
14.616	3359963386.2431087494
14.716	3472287836.7234182358
14.816	3585209673.5907826424
14.916	3698666883.8087434769
15.016	3812600573.9685134888
15.116	3926954982.0329999924
15.216	4041677472.2058563232
15.316	4156718514.5218048096
15.416	4272031650.7078185081
15.516	4387573447.8096303940
15.616	4503303441.0146932602
15.716	4619184067.0335187912
15.816	4735180589.3284482956
15.916	4851261016.4021301270
16.016	4967396014.2797908783
16.116	5083558814.2404127121
16.216	5199725116.7737407684
16.316	5315872992.6623926163
16.416	5431982782.0108108521
16.516	5548036991.9716720581
16.616	5664020193.8463563919
16.716	5779918920.1700220108
16.816	5895721562.3248586655
16.916	6011418269.1654796600
17.016	6127000847.0808048248
17.116	6242462661.8633041382
17.216	6357798542.7044067383
17.316	6473004688.5900573730
17.416	6588078577.3240213394
17.516	6703018877.3682975769
17.616	6817825362.6525182724
17.716	6932498830.4707880020
17.816	7047041022.5544176102
17.916	7161454549.3800926208
18.016	7275742817.7509489059
18.116	7389909961.6633205414
18.216	7503960776.4545087814
18.316	7617900656.2077083588
18.416	7731735534.3777446747
18.516	7845471827.5852537155
18.616	7959116382.5184793472
18.716	8072676425.8698291779
18.816	8186159517.2285280228
