T[MeV]	signal_value	signal_error
0	0	0
0.100	2.376584587e-51	1.03e-61
0.200	1.834088542e-29	1.24e-39
0.300	7.969348759e-21	7.69e-33
0.400	4.781109116e-16	1.19e-27
0.500	5.776337241e-13	9.16e-24
0.600	8.621405400e-11	7.62e-22
0.700	3.644638995e-09	5.81e-21
0.800	6.755512792e-08	9.24e-20
0.900	7.074204619e-07	5.80e-18
1.000	4.900688555e-06	1.30e-16
1.100	2.491448481e-05	1.32e-15
1.200	9.981031524e-05	7.36e-15
1.300	3.314286335e-04	2.55e-14
1.400	9.465769467e-04	5.85e-14
1.500	2.390598016e-03	9.16e-14
1.600	5.453151911e-03	9.07e-14
1.700	1.142218423e-02	3.33e-14
1.800	2.225790217e-02	4.25e-14
1.900	4.077591666e-02	3.29e-13
2.000	7.082776855e-02	9.13e-13
2.100	1.174676562e-01	1.87e-12
2.200	1.870959078e-01	1.13e-11
2.300	2.875721153e-01	1.57e-11
2.400	4.282934455e-01	1.33e-11
2.500	6.202361343e-01	1.04e-11
2.600	8.759603485e-01	7.44e-12
2.700	1.209580349e+00	6.75e-12
2.800	1.636703184e+00	1.02e-11
2.900	2.174339999e+00	1.57e-11
3.000	2.840794513e+00	2.32e-11
3.100	3.655533387e+00	3.26e-11
3.200	4.639043106e+00	4.40e-11
3.300	5.812677736e+00	5.33e-10
3.400	7.198501534e+00	5.99e-10
3.500	8.819129944e+00	6.68e-10
3.600	1.069757200e+01	7.40e-10
3.700	1.285707669e+01	8.14e-10
3.800	1.532098533e+01	8.89e-10
3.900	1.811259165e+01	1.81e-09
4.000	2.125501068e+01	1.89e-09
4.100	2.477105748e+01	1.96e-09
4.200	2.868313610e+01	2.02e-09
4.300	3.301313920e+01	2.08e-09
4.400	3.778235833e+01	2.13e-09
4.500	4.301140475e+01	2.17e-09
4.600	4.872014058e+01	2.20e-09
4.700	5.492761986e+01	2.22e-09
4.800	6.165203907e+01	2.24e-09
4.900	6.891069659e+01	2.25e-09
5.000	7.671996048e+01	2.26e-09
5.100	8.509524411e+01	2.27e-09
5.200	9.405098890e+01	2.28e-09
5.300	1.036006536e+02	2.28e-09
5.400	1.137567094e+02	2.28e-09
5.500	1.245306410e+02	2.29e-09
5.600	1.359329514e+02	2.30e-09
5.700	1.479731720e+02	2.31e-09
5.800	1.606598762e+02	2.33e-09
5.900	1.740006957e+02	2.36e-09
6.000	1.880023404e+02	2.43e-09
