T[MeV]	signal_value	signal_error
0	0	0
0.100	2.357244170e-61	4.62e-74
0.200	2.466848289e-41	6.12e-54
0.300	1.197459359e-33	2.05e-45
0.400	1.822964799e-29	1.51e-42
0.500	8.449794383e-27	1.40e-37
0.600	6.161165004e-25	3.47e-37
0.700	1.486271023e-23	2.94e-35
0.800	1.749042181e-22	6.46e-33
0.900	1.255846646e-21	1.19e-32
1.000	6.319070139e-21	2.27e-32
1.100	2.439392768e-20	1.23e-30
1.200	7.685724373e-20	6.46e-30
1.300	2.064749526e-19	1.96e-29
1.400	4.882856450e-19	3.00e-29
1.500	1.040977074e-18	4.08e-29
1.600	2.037279084e-18	4.39e-29
1.700	3.712118352e-18	3.69e-29
1.800	6.367703881e-18	2.30e-29
1.900	1.037518647e-17	2.27e-29
2.000	1.617295387e-17	6.46e-29
2.100	2.426193277e-17	1.38e-28
2.200	3.519845785e-17	2.41e-28
2.300	4.958535045e-17	3.71e-28
2.400	6.806185029e-17	6.45e-27
2.500	9.129298972e-17	6.95e-27
2.600	1.199589146e-16	7.29e-27
2.700	1.547445573e-16	7.49e-27
2.800	1.963299691e-16	7.55e-27
2.900	2.453815253e-16	7.46e-27
3.000	3.025441404e-16	7.21e-27
3.100	3.684345608e-16	6.87e-27
3.200	4.436357506e-16	6.44e-27
3.300	5.286923489e-16	5.95e-27
3.400	6.241071420e-16	5.40e-27
3.500	7.303384808e-16	4.82e-27
3.600	8.477985552e-16	4.25e-27
3.700	9.768524351e-16	3.69e-27
3.800	1.117817785e-15	3.18e-27
3.900	1.270965157e-15	2.74e-27
4.000	1.436518782e-15	2.44e-27
4.100	1.614657765e-15	2.54e-27
4.200	1.805517618e-15	2.90e-27
4.300	2.009192061e-15	3.37e-27
4.400	2.225735027e-15	3.93e-27
4.500	2.455162812e-15	4.57e-27
4.600	2.697456337e-15	5.26e-27
4.700	2.952563467e-15	6.00e-27
4.800	3.220401357e-15	6.78e-27
4.900	3.500858798e-15	7.59e-27
5.000	3.793798536e-15	8.43e-27
5.100	4.099059541e-15	9.28e-27
5.200	4.416459221e-15	1.02e-26
5.300	4.745795549e-15	1.10e-26
5.400	5.086849114e-15	1.19e-26
5.500	5.439385077e-15	1.29e-26
5.600	5.803155025e-15	1.38e-26
5.700	6.177898728e-15	1.47e-26
5.800	6.563345794e-15	1.56e-26
5.900	6.959217220e-15	1.65e-26
6.000	7.365226841e-15	1.74e-26
6.100	7.781082682e-15	1.83e-26
6.200	8.206488205e-15	1.92e-26
6.300	8.641143474e-15	2.01e-26
6.400	9.084746217e-15	2.10e-26
6.500	9.536992807e-15	2.20e-26
6.600	9.997579157e-15	2.29e-26
6.700	1.046620154e-14	2.38e-26
6.800	1.094255734e-14	2.48e-26
6.900	1.142634569e-14	2.57e-26
7.000	1.191726812e-14	2.66e-26
7.100	1.241502909e-14	2.75e-26
7.200	1.291933644e-14	2.84e-26
7.300	1.342990188e-14	2.93e-26
7.400	1.394644129e-14	3.01e-26
7.500	1.446867514e-14	3.09e-26
7.600	1.499632872e-14	3.18e-26
7.700	1.552913240e-14	3.26e-26
7.800	1.606682186e-14	3.33e-26
7.900	1.660913825e-14	3.41e-26
8.000	1.715582833e-14	3.48e-26
8.100	1.770664461e-14	3.56e-26
8.200	1.826134542e-14	3.63e-26
8.300	1.881969499e-14	3.70e-26
8.400	1.938146348e-14	3.77e-26
8.500	1.994642702e-14	3.84e-26
8.600	2.051436772e-14	3.90e-26
8.700	2.108507365e-14	3.97e-26
8.800	2.165833882e-14	4.03e-26
8.900	2.223396314e-14	4.09e-26
9.000	2.281175238e-14	4.15e-26
9.100	2.339151811e-14	4.21e-26
9.200	2.397307764e-14	4.27e-26
9.300	2.455625392e-14	4.32e-26
9.400	2.514087551e-14	4.38e-26
9.500	2.572677640e-14	4.43e-26
9.600	2.631379604e-14	4.48e-26
9.700	2.690177914e-14	4.54e-26
9.800	2.749057560e-14	4.59e-26
9.900	2.808004043e-14	4.64e-26
10.000	2.867003363e-14	4.68e-26
