T[MeV]	signal_value	signal_error
0	0	0
0.100	4.839232238e-76	6.10e-87
0.200	2.171886850e-40	8.44e-51
0.300	3.898897947e-28	1.90e-38
0.400	9.641820343e-22	2.15e-33
0.500	1.057783456e-17	2.10e-29
0.600	7.445435156e-15	2.07e-27
0.700	1.045836248e-12	9.91e-26
0.800	5.172300961e-11	4.68e-21
0.900	1.240007172e-09	4.33e-20
1.000	1.753931431e-08	8.41e-19
1.100	1.664810247e-07	3.61e-18
1.200	1.158653277e-06	1.22e-17
1.300	6.299062675e-06	5.28e-16
1.400	2.802806692e-05	1.10e-15
1.500	1.057337414e-04	1.96e-15
1.600	3.474959111e-04	2.74e-14
1.700	1.016438875e-03	4.93e-14
1.800	2.691612394e-03	8.33e-14
1.900	6.542320564e-03	3.63e-13
2.000	1.476184804e-02	1.25e-12
2.100	3.121002994e-02	2.97e-13
2.200	6.231303012e-02	4.85e-12
2.300	1.182626927e-01	6.66e-12
2.400	2.145472902e-01	8.91e-12
2.500	3.738313641e-01	3.57e-11
2.600	6.281859655e-01	4.62e-11
2.700	1.021653416e+00	9.60e-11
2.800	1.613114115e+00	1.51e-10
2.900	2.479408121e+00	1.68e-10
3.000	3.718652046e+00	1.89e-10
3.100	5.453682922e+00	5.24e-10
3.200	7.835555126e+00	6.28e-10
3.300	1.104701444e+01	7.49e-10
3.400	1.530587428e+01	8.87e-10
3.500	2.086822309e+01	1.04e-09
3.600	2.803139759e+01	1.34e-09
3.700	3.713666493e+01	3.60e-09
3.800	4.857156484e+01	1.57e-09
3.900	6.277187347e+01	1.76e-09
4.000	8.022315944e+01	1.96e-09
4.100	1.014619132e+02	2.17e-09
4.200	1.270762392e+02	2.38e-09
4.300	1.577061098e+02	2.59e-09
4.400	1.940431870e+02	2.80e-09
4.500	2.368302245e+02	3.02e-09
4.600	2.868600699e+02	3.24e-09
4.700	3.449742897e+02	3.45e-09
4.800	4.120614451e+02	3.67e-09
4.900	4.890550488e+02	3.89e-09
5.000	5.769312344e+02	4.10e-09
5.100	6.767061737e+02	4.32e-09
5.200	7.894332740e+02	4.53e-09
5.300	9.162001904e+02	4.74e-09
5.400	1.058125687e+03	4.96e-09
5.500	1.216356378e+03	5.17e-09
5.600	1.392063384e+03	5.39e-09
5.700	1.586438921e+03	5.60e-09
5.800	1.800692871e+03	1.61e-07
5.900	2.036049337e+03	1.39e-07
6.000	2.293743218e+03	1.15e-07
