T[MeV]	signal_value	signal_error
0	0	0
0.100	3.759276525e-95	4.37e-101
0.200	1.122906557e-57	4.25e-68
0.300	7.705785464e-45	2.38e-55
0.400	3.496813804e-38	1.04e-49
0.500	5.208024813e-34	2.65e-45
0.600	4.289542924e-31	1.26e-43
0.700	6.513746182e-29	9.01e-42
0.800	3.331865993e-27	1.84e-40
0.900	8.052555748e-26	4.23e-36
1.000	1.130800752e-24	3.87e-35
1.100	1.055751549e-23	5.87e-34
1.200	7.186222917e-23	2.11e-33
1.300	3.807816855e-22	6.22e-33
1.400	1.648062093e-21	1.57e-32
1.500	6.041015575e-21	3.51e-32
1.600	1.928272932e-20	1.74e-30
1.700	5.477853968e-20	2.56e-30
1.800	1.409164997e-19	3.72e-30
1.900	3.328837006e-19	3.00e-29
2.000	7.303949853e-19	4.67e-29
2.100	1.502612359e-18	6.98e-29
2.200	2.921242561e-18	2.44e-28
2.300	5.402367036e-18	1.90e-28
2.400	9.557033758e-18	2.13e-28
2.500	1.625008372e-17	4.66e-28
2.600	2.666615403e-17	9.15e-28
2.700	4.238134219e-17	1.46e-27
2.800	6.543866557e-17	5.95e-27
2.900	9.842522400e-17	7.33e-27
3.000	1.445488759e-16	1.37e-26
3.100	2.077122603e-16	1.65e-26
3.200	2.925821247e-16	1.95e-26
3.300	4.046521261e-16	3.83e-26
3.400	5.502975471e-16	4.44e-26
3.500	7.368206703e-16	5.11e-26
3.600	9.724858861e-16	5.84e-26
3.700	1.266543929e-15	6.62e-26
3.800	1.629244951e-15	7.45e-26
3.900	2.071840421e-15	1.82e-25
4.000	2.606574104e-15	2.02e-25
4.100	3.246662575e-15	1.59e-25
4.200	4.006265908e-15	3.24e-25
4.300	4.900449336e-15	2.84e-25
4.400	5.945136742e-15	3.07e-25
4.500	7.157056959e-15	4.18e-25
4.600	8.553683859e-15	5.84e-25
4.700	1.015317124e-14	8.02e-25
4.800	1.197428354e-14	1.07e-24
4.900	1.403632324e-14	8.81e-25
5.000	1.635905607e-14	9.46e-25
5.100	1.896263469e-14	1.01e-24
5.200	2.186752181e-14	1.08e-24
5.300	2.509441336e-14	1.15e-24
5.400	2.866416251e-14	1.22e-24
5.500	3.259770503e-14	1.30e-24
5.600	3.691598653e-14	1.37e-24
5.700	4.163989214e-14	1.45e-24
5.800	4.679017879e-14	1.53e-24
5.900	5.238741070e-14	1.60e-24
6.000	5.845189805e-14	1.68e-24
6.100	6.500363921e-14	1.76e-24
6.200	7.206226665e-14	1.84e-24
6.300	7.964699660e-14	1.92e-24
6.400	8.777658248e-14	2.00e-24
6.500	9.646927226e-14	2.08e-24
6.600	1.057427695e-13	2.16e-24
6.700	1.156141986e-13	1.11e-23
6.800	1.261000728e-13	1.14e-23
6.900	1.372162671e-13	1.17e-23
7.000	1.489779939e-13	1.20e-23
7.100	1.613997821e-13	1.22e-23
7.200	1.744954593e-13	1.24e-23
7.300	1.882781382e-13	1.25e-23
7.400	2.027602044e-13	1.26e-23
7.500	2.179533083e-13	1.26e-23
7.600	2.338683590e-13	1.26e-23
7.700	2.505155209e-13	1.25e-23
7.800	2.679042127e-13	1.24e-23
7.900	2.860431084e-13	1.23e-23
8.000	3.049401408e-13	1.21e-23
8.100	3.246025063e-13	1.19e-23
8.200	3.450366717e-13	1.17e-23
8.300	3.662483826e-13	1.14e-23
8.400	3.882426734e-13	1.11e-23
8.500	4.110238783e-13	1.08e-23
8.600	4.345956436e-13	1.04e-23
8.700	4.589609414e-13	1.00e-23
8.800	4.841220835e-13	9.66e-24
8.900	5.100807369e-13	9.26e-24
9.000	5.368379397e-13	8.85e-24
9.100	5.643941177e-13	8.43e-24
9.200	5.927491012e-13	8.02e-24
9.300	6.219021429e-13	7.60e-24
9.400	6.518519353e-13	7.20e-24
9.500	6.825966296e-13	6.80e-24
9.600	7.141338536e-13	6.42e-24
9.700	7.464607302e-13	6.07e-24
9.800	7.795738965e-13	5.74e-24
9.900	8.134695220e-13	5.44e-24
10.000	8.481433276e-13	5.20e-24
