T[MeV]	signal_value	signal_error
0	0	0
0.100	8.864379309e-31	4.50e-44
0.200	1.642679697e-17	2.16e-28
0.300	3.372204752e-12	2.50e-25
0.400	3.094559591e-09	1.39e-19
0.500	2.584526002e-07	2.33e-17
0.600	5.936362930e-06	2.45e-16
0.700	6.236801396e-05	4.66e-15
0.800	3.922699697e-04	1.81e-14
0.900	1.727576213e-03	3.01e-14
1.000	5.875100973e-03	4.30e-14
1.100	1.645603023e-02	7.69e-13
1.200	3.968482888e-02	6.19e-13
1.300	8.503977588e-02	4.60e-13
1.400	1.657141353e-01	1.04e-12
1.500	2.987943484e-01	2.34e-12
1.600	5.051651306e-01	4.21e-12
1.700	8.091789881e-01	6.61e-12
1.800	1.238147487e+00	9.47e-12
1.900	1.821716910e+00	1.27e-11
2.000	2.591186620e+00	1.63e-11
2.100	3.578818919e+00	2.03e-11
2.200	4.817177817e+00	2.47e-11
2.300	6.338522918e+00	2.95e-11
2.400	8.174274806e+00	3.45e-11
2.500	1.035456029e+01	3.98e-11
2.600	1.290783971e+01	4.52e-11
2.700	1.586061422e+01	5.08e-11
2.800	1.923720763e+01	5.64e-11
2.900	2.305961614e+01	6.22e-11
3.000	2.734741774e+01	6.80e-11
3.100	3.211773321e+01	7.39e-11
3.200	3.738523058e+01	7.98e-11
3.300	4.316216546e+01	8.56e-11
3.400	4.945845024e+01	9.12e-11
3.500	5.628174579e+01	9.67e-11
3.600	6.363757032e+01	1.02e-10
3.700	7.152942041e+01	1.07e-10
3.800	7.995890038e+01	1.12e-10
3.900	8.892585633e+01	1.17e-10
4.000	9.842851220e+01	1.22e-10
4.100	1.084636056e+02	1.26e-10
4.200	1.190265211e+02	1.30e-10
4.300	1.301114206e+02	1.34e-10
4.400	1.417113682e+02	1.38e-10
4.500	1.538184501e+02	1.41e-10
4.600	1.664238883e+02	1.45e-10
4.700	1.795181475e+02	1.48e-10
4.800	1.930910360e+02	1.51e-10
4.900	2.071317993e+02	1.54e-10
5.000	2.216292069e+02	1.57e-10
5.100	2.365716336e+02	1.59e-10
5.200	2.519471328e+02	1.62e-10
5.300	2.677435051e+02	1.64e-10
5.400	2.839483600e+02	1.67e-10
5.500	3.005491725e+02	1.69e-10
5.600	3.175333344e+02	1.71e-10
5.700	3.348882003e+02	1.73e-10
5.800	3.526011294e+02	1.75e-10
5.900	3.706595224e+02	1.77e-10
6.000	3.890508549e+02	1.78e-10
