T[MeV]	signal_value	signal_error
0	0	0
0.100	1.804835829e-88	9.81e-101
0.200	1.902058296e-57	1.59e-67
0.300	2.870168469e-45	3.76e-56
0.400	1.498478901e-38	7.07e-49
0.500	3.161251957e-34	8.35e-45
0.600	3.502526882e-31	7.65e-42
0.700	6.575121483e-29	1.09e-40
0.800	3.872718638e-27	1.94e-38
0.900	1.022833342e-25	5.28e-38
1.000	1.512724377e-24	1.32e-34
1.100	1.449645701e-23	1.12e-35
1.200	9.948832802e-23	8.23e-33
1.300	5.249889442e-22	1.08e-33
1.400	2.243625818e-21	3.06e-32
1.500	8.073536997e-21	1.84e-31
1.600	2.520030592e-20	5.86e-31
1.700	6.982825763e-20	1.39e-30
1.800	1.749410757e-19	2.75e-30
1.900	4.021274852e-19	4.77e-30
2.000	8.582682902e-19	7.50e-30
2.100	1.717583123e-18	1.09e-29
2.200	3.249143587e-18	1.49e-29
2.300	5.849532079e-18	1.92e-29
2.400	1.007991943e-17	2.36e-29
2.500	1.670649534e-17	1.00e-28
2.600	2.674294241e-17	3.17e-29
2.700	4.149351025e-17	3.47e-29
2.800	6.259521746e-17	3.68e-29
2.900	9.205777493e-17	3.77e-29
3.000	1.322999636e-16	3.73e-29
3.100	1.861813927e-16	3.56e-29
3.200	2.570287902e-16	3.27e-29
3.300	3.486562132e-16	2.88e-29
3.400	4.653788049e-16	2.41e-29
3.500	6.120199403e-16	1.91e-29
3.600	7.939118061e-16	1.47e-29
3.700	1.016889626e-15	1.21e-29
3.800	1.287279882e-15	1.67e-29
3.900	1.611883001e-15	2.84e-29
4.000	1.997951030e-15	1.92e-25
4.100	2.453160918e-15	6.58e-26
4.200	2.985584004e-15	3.40e-27
4.300	3.603652364e-15	1.04e-25
4.400	4.316122623e-15	2.79e-25
4.500	5.132037852e-15	2.53e-25
4.600	6.060688113e-15	2.22e-25
4.700	7.111570185e-15	1.85e-25
4.800	8.294346963e-15	1.46e-25
4.900	9.618806971e-15	1.05e-25
5.000	1.109482438e-14	6.51e-26
5.100	1.273231985e-14	2.95e-26
5.200	1.454122260e-14	3.94e-27
5.300	1.653143372e-14	1.36e-26
5.400	1.871279125e-14	5.13e-26
5.500	2.109503693e-14	1.06e-25
5.600	2.368778485e-14	1.75e-25
5.700	2.650049212e-14	2.59e-25
5.800	2.954243159e-14	3.56e-25
5.900	3.282266666e-14	4.66e-25
6.000	3.635002820e-14	5.88e-25
6.100	4.013309354e-14	7.21e-25
6.200	4.418016763e-14	8.66e-25
6.300	4.849926613e-14	1.02e-24
6.400	5.309810052e-14	1.19e-24
6.500	5.798406520e-14	1.36e-24
6.600	6.316422633e-14	1.55e-24
6.700	6.864531249e-14	1.74e-24
6.800	7.443370708e-14	1.94e-24
6.900	8.053544222e-14	2.14e-24
7.000	8.695619424e-14	2.35e-24
7.100	9.370128056e-14	2.57e-24
7.200	1.007756579e-13	2.79e-24
7.300	1.081839217e-13	3.01e-24
7.400	1.159303068e-13	3.24e-24
7.500	1.240186890e-13	3.47e-24
7.600	1.324525879e-13	3.71e-24
7.700	1.412351700e-13	3.94e-24
7.800	1.503692536e-13	4.18e-24
7.900	1.598573134e-13	4.41e-24
8.000	1.697014868e-13	4.65e-24
8.100	1.799035795e-13	4.88e-24
8.200	1.904650731e-13	5.12e-24
8.300	2.013871320e-13	5.35e-24
8.400	2.126706111e-13	5.58e-24
8.500	2.243160644e-13	5.81e-24
8.600	2.363237526e-13	6.04e-24
8.700	2.486936525e-13	6.26e-24
8.800	2.614254654e-13	6.48e-24
8.900	2.745186261e-13	6.69e-24
9.000	2.879723123e-13	6.90e-24
9.100	3.017854535e-13	7.11e-24
9.200	3.159567404e-13	7.31e-24
9.300	3.304846342e-13	7.51e-24
9.400	3.453673757e-13	7.70e-24
9.500	3.606029947e-13	7.89e-24
9.600	3.761893193e-13	8.07e-24
9.700	3.921239846e-13	8.24e-24
9.800	4.084044419e-13	8.41e-24
9.900	4.250279679e-13	8.57e-24
10.000	4.419916728e-13	4.36e-23
