,Emeas[MeV],DiffRate[s-1MeV-1],Spectrum[MeV-1]
0,0.0,8e-05,0.0024000000000000002
1,0.001,7.99762e-05,0.002399286
2,0.002,7.99523e-05,0.002398569
3,0.003,7.99286e-05,0.002397858
4,0.004,7.99048e-05,0.002397144
5,0.005,7.98811e-05,0.002396433
6,0.006,7.98573e-05,0.002395719
7,0.007,7.98337e-05,0.002395011
8,0.008,7.981e-05,0.0023943
9,0.009,7.97864e-05,0.002393592
10,0.01,7.97628e-05,0.002392884
11,0.011,7.97392e-05,0.002392176
12,0.012,7.97157e-05,0.002391471
13,0.013,7.96921e-05,0.002390763
14,0.014,7.96686e-05,0.002390058
15,0.015,7.96452e-05,0.002389356
16,0.016,7.96217e-05,0.002388651
17,0.017,7.95983e-05,0.002387949
18,0.018,7.95749e-05,0.002387247
19,0.019,7.95516e-05,0.002386548
20,0.02,7.95283e-05,0.0023858489999999998
21,0.021,7.9505e-05,0.00238515
22,0.022,7.94817e-05,0.002384451
23,0.023,7.94584e-05,0.002383752
24,0.024,7.94352e-05,0.002383056
25,0.025,7.9412e-05,0.00238236
26,0.026,7.93888e-05,0.002381664
27,0.027,7.93657e-05,0.002380971
28,0.028,7.93426e-05,0.002380278
29,0.029,7.93195e-05,0.002379585
30,0.03,7.92964e-05,0.0023788919999999996
31,0.031,7.92734e-05,0.002378202
32,0.032,7.92504e-05,0.002377512
33,0.033,7.92274e-05,0.0023768220000000002
34,0.034,7.92044e-05,0.002376132
35,0.035,7.91815e-05,0.002375445
36,0.036,7.91586e-05,0.0023747580000000003
37,0.037,7.91357e-05,0.002374071
38,0.038,7.91129e-05,0.0023733870000000002
39,0.039,7.90901e-05,0.002372703
40,0.04,7.90673e-05,0.002372019
41,0.041,7.90445e-05,0.002371335
42,0.042,7.90217e-05,0.0023706509999999997
43,0.043,7.8999e-05,0.00236997
44,0.044,7.89763e-05,0.002369289
45,0.045,7.89537e-05,0.002368611
46,0.046,7.8931e-05,0.00236793
47,0.047,7.89084e-05,0.002367252
48,0.048,7.88859e-05,0.002366577
49,0.049,7.88633e-05,0.002365899
50,0.05,7.88408e-05,0.002365224
51,0.051,7.88183e-05,0.002364549
52,0.052,7.87958e-05,0.0023638739999999997
53,0.053,7.87733e-05,0.002363199
54,0.054,7.87509e-05,0.002362527
55,0.055,7.87285e-05,0.002361855
56,0.056,7.87061e-05,0.0023611829999999998
57,0.057,7.86838e-05,0.0023605139999999998
58,0.058,7.86615e-05,0.002359845
59,0.059,7.86392e-05,0.002359176
60,0.06,7.86169e-05,0.002358507
61,0.061,7.85947e-05,0.002357841
62,0.062,7.85725e-05,0.002357175
63,0.063,7.85503e-05,0.002356509
