t0/tau	cal_g_function_a	err
0.000	8.8622692545e-01	5.8704025959e-13
0.010	8.8626274662e-01	1.8041859101e-11
0.020	8.8637017576e-01	7.0855361713e-11
0.030	8.8654910998e-01	5.7634134710e-13
0.040	8.8679937819e-01	6.2724711602e-13
0.050	8.8712074186e-01	9.4542432963e-13
0.060	8.8751289588e-01	5.8107740281e-13
0.070	8.8797546981e-01	7.1822864523e-13
0.080	8.8850802927e-01	7.6666252446e-13
0.090	8.8911007766e-01	5.8473609442e-13
0.100	8.8978105797e-01	2.5915317868e-12
0.110	8.9052035497e-01	1.5598647452e-12
0.120	8.9132729741e-01	5.9690748609e-13
0.130	8.9220116052e-01	5.9497603853e-13
0.140	8.9314116859e-01	3.3283235492e-12
0.150	8.9414649775e-01	5.2839435286e-12
0.160	8.9521627878e-01	1.0926538844e-12
0.170	8.9634960010e-01	6.0958992599e-13
0.180	8.9754551079e-01	6.1530984624e-13
0.190	8.9880302368e-01	3.6274510872e-11
0.200	9.0012111846e-01	1.5470871026e-11
0.210	9.0149874482e-01	1.0050094779e-11
0.220	9.0293482564e-01	2.6220798923e-12
0.230	9.0442826006e-01	8.0016556916e-13
0.240	9.0597792662e-01	6.4462671458e-13
0.250	9.0758268628e-01	6.5633569207e-13
0.260	9.0924138544e-01	6.5597907623e-13
0.270	9.1095285885e-01	8.4558770203e-12
0.280	9.1271593240e-01	3.6702954410e-11
0.290	9.1452942592e-01	2.1029850619e-11
0.300	9.1639215579e-01	7.0306820936e-12
0.310	9.1830293744e-01	1.8607675221e-12
0.320	9.2026058779e-01	7.6901747955e-13
0.330	9.2226392750e-01	7.2209964607e-13
0.340	9.2431178318e-01	7.3429960336e-13
0.350	9.2640298933e-01	7.2997167828e-13
0.360	9.2853639034e-01	2.0186876595e-11
0.370	9.3071084218e-01	9.0981964721e-11
0.380	9.3292521406e-01	9.1552775212e-11
0.390	9.3517838994e-01	4.5834278297e-11
0.400	9.3746926990e-01	1.5127282592e-11
0.410	9.3979677137e-01	3.5208961125e-12
0.420	9.4215983028e-01	9.3403761068e-13
0.430	9.4455740207e-01	8.8028655742e-13
0.440	9.4698846254e-01	8.8991281725e-13
0.450	9.4945200866e-01	8.5227627381e-13
0.460	9.5194705926e-01	8.4213141075e-13
0.470	9.5447265555e-01	8.5601111457e-13
0.480	9.5702786160e-01	8.7053188298e-13
0.490	9.5961176476e-01	4.5804220969e-12
0.500	9.6222347591e-01	2.3202948884e-11
0.510	9.6486212970e-01	1.8852570112e-11
0.520	9.6752688467e-01	9.2957563283e-13
0.530	9.7021692330e-01	9.4511325977e-13
0.540	9.7293145204e-01	2.8700882662e-11
0.550	9.7566970123e-01	9.7888116328e-13
0.560	9.7843092497e-01	9.9624487204e-13
0.570	9.8121440097e-01	1.0148173282e-12
0.580	9.8401943031e-01	1.0332998405e-12
0.590	9.8684533720e-01	1.0524006906e-12
0.600	9.8969146868e-01	1.0721028530e-12
0.610	9.9255719426e-01	1.0935209902e-12
0.620	9.9544190558e-01	1.1149442316e-12
0.630	9.9834501604e-01	1.1357161888e-12
0.640	1.0012659603e+00	1.1584238007e-12
0.650	1.0042041940e+00	1.1820772970e-12
0.660	1.0071591931e+00	2.5853904480e-11
0.670	1.0101304537e+00	1.2300378015e-12
0.680	1.0131174911e+00	1.2559210548e-12
0.690	1.0161198398e+00	1.2821580568e-12
0.700	1.0191370528e+00	1.3086520733e-12
0.710	1.0221687011e+00	1.3370713683e-12
0.720	1.0252143732e+00	1.3643172008e-12
0.730	1.0282736744e+00	5.4558728195e-11
0.740	1.0313462266e+00	1.4277734459e-12
0.750	1.0344316678e+00	1.4624055221e-12
0.760	1.0375296514e+00	1.5023280757e-12
0.770	1.0406398456e+00	1.5464110861e-12
0.780	1.0437619332e+00	1.5983230337e-12
0.790	1.0468956110e+00	1.6621804747e-12
0.800	1.0500405893e+00	1.7398230893e-12
0.810	1.0531965914e+00	5.6801180540e-11
0.820	1.0563633531e+00	1.9538517945e-12
0.830	1.0595406223e+00	2.0982813260e-12
0.840	1.0627281587e+00	2.2695235436e-12
0.850	1.0659257331e+00	2.4583437672e-12
0.860	1.0691331269e+00	2.6470215656e-12
0.870	1.0723501321e+00	2.8018408644e-12
0.880	1.0755765505e+00	2.8697910739e-12
0.890	1.0788121935e+00	2.7835356123e-12
0.900	1.0820568816e+00	2.9116743738e-12
0.910	1.0853104441e+00	2.1343904724e-12
0.920	1.0885727186e+00	2.9255195975e-12
0.930	1.0918435509e+00	5.4116138531e-12
0.940	1.0951227943e+00	1.0566722991e-11
0.950	1.0984103096e+00	1.9817099713e-11
0.960	1.1017059645e+00	3.4880979865e-11
0.970	1.1050096336e+00	5.7461842514e-11
0.980	1.1083211976e+00	8.8700095631e-11
0.990	1.1116405436e+00	2.9168823362e-11
1.000	1.1149675642e+00	7.0437275038e-12
1.010	1.1183021580e+00	4.0593223942e-11
1.020	1.1216442283e+00	7.1254243259e-11
1.030	1.1249936839e+00	8.7471333561e-11
1.040	1.1283504382e+00	8.8271924449e-11
1.050	1.1317144089e+00	7.7462764783e-11
1.060	1.1350855185e+00	6.4174164247e-11
1.070	1.1384636931e+00	4.2129515766e-11
1.080	1.1418488629e+00	2.6079996323e-11
1.090	1.1452409617e+00	1.4132487450e-11
1.100	1.1486399269e+00	6.7678372903e-12
1.110	1.1520456990e+00	3.7874679605e-12
1.120	1.1554582216e+00	5.6911816237e-12
1.130	1.1588774414e+00	7.8031863419e-12
1.140	1.1623033078e+00	9.1253428895e-12
1.150	1.1657357726e+00	9.5850148193e-12
1.160	1.1691747903e+00	9.3967328747e-12
1.170	1.1726203177e+00	8.8327623435e-12
1.180	1.1760723136e+00	4.1633498732e-11
1.190	1.1795307388e+00	7.4873872522e-12
1.200	1.1829955564e+00	6.9647596373e-12
1.210	1.1864667308e+00	6.6037356492e-12
1.220	1.1899442283e+00	6.4092913662e-12
1.230	1.1934280168e+00	6.3781185833e-12
1.240	1.1969180656e+00	6.5522289515e-12
1.250	1.2004143452e+00	6.9073694609e-12
1.260	1.2039168278e+00	7.3948017446e-12
1.270	1.2074254863e+00	7.9131255251e-12
1.280	1.2109402948e+00	8.3999313157e-12
1.290	1.2144612286e+00	8.8552426698e-12
1.300	1.2179882638e+00	9.3298245717e-12
1.310	1.2215213774e+00	9.9724219162e-12
1.320	1.2250605469e+00	1.0851658543e-11
1.330	1.2286057510e+00	1.1839114272e-11
1.340	1.2321569687e+00	1.2865125768e-11
1.350	1.2357141798e+00	1.3892960095e-11
1.360	1.2392773644e+00	1.4951618029e-11
1.370	1.2428465033e+00	1.6131793789e-11
1.380	1.2464215777e+00	1.7613021790e-11
1.390	1.2500025692e+00	1.9523452601e-11
1.400	1.2535894597e+00	2.1689702702e-11
1.410	1.2571822314e+00	2.4047691805e-11
1.420	1.2607808668e+00	2.6593428006e-11
1.430	1.2643853486e+00	2.9389308119e-11
1.440	1.2679956598e+00	3.2548974663e-11
1.450	1.2716117835e+00	3.6211916007e-11
1.460	1.2752337030e+00	4.0522246446e-11
1.470	1.2788614014e+00	4.5385310796e-11
1.480	1.2824948624e+00	5.0781257577e-11
1.490	1.2861340694e+00	5.6745115586e-11
1.500	1.2897790059e+00	6.3324506668e-11
1.510	1.2934296556e+00	7.0574649117e-11
1.520	1.2970860019e+00	7.8525810015e-11
1.530	1.3007480284e+00	8.7163095580e-11
1.540	1.3044157186e+00	9.6391704231e-11
1.550	1.3080890560e+00	1.0603204096e-10
1.560	1.3117680240e+00	1.5661128768e-11
1.570	1.3154526059e+00	1.2553402570e-10
1.580	1.3191427850e+00	1.6887920796e-11
1.590	1.3228385444e+00	1.7678157745e-11
1.600	1.3265398672e+00	1.8586091942e-11
1.610	1.3302467363e+00	1.9546466608e-11
1.620	1.3339591345e+00	2.0433092998e-11
1.630	1.3376770446e+00	2.1103489228e-11
1.640	1.3414004492e+00	1.2657598474e-10
1.650	1.3451293306e+00	1.0236259247e-10
1.660	1.3488636713e+00	7.1355592050e-11
1.670	1.3526034533e+00	3.8510773995e-11
1.680	1.3563486587e+00	4.2690420654e-11
1.690	1.3600992694e+00	1.2454506190e-10
1.700	1.3638552671e+00	3.3447179484e-11
1.710	1.3676166335e+00	3.2250263331e-11
1.720	1.3713833500e+00	2.9709690927e-11
1.730	1.3751553979e+00	3.2154650340e-11
1.740	1.3789327583e+00	4.1323078944e-11
1.750	1.3827154124e+00	5.2453535686e-11
1.760	1.3865033409e+00	6.0549567105e-11
1.770	1.3902965247e+00	6.0988240117e-11
1.780	1.3940949442e+00	5.2683094837e-11
1.790	1.3978985800e+00	4.0957375162e-11
1.800	1.4017074125e+00	4.6839681880e-11
1.810	1.4055214218e+00	7.0066667547e-11
1.820	1.4093405879e+00	9.3577170556e-11
1.830	1.4131648909e+00	1.0486462446e-10
1.840	1.4169943106e+00	9.7121176790e-11
1.850	1.4208288267e+00	7.5246156167e-11
1.860	1.4246684187e+00	5.7011595804e-11
1.870	1.4285130662e+00	8.3125181292e-11
1.880	1.4323627486e+00	1.2771382324e-10
1.890	1.4362174450e+00	9.2778543646e-11
1.900	1.4400771348e+00	1.1907294396e-10
1.910	1.4439417969e+00	1.1173095153e-10
1.920	1.4478114105e+00	8.1353984552e-11
1.930	1.4516859543e+00	7.0483876351e-11
1.940	1.4555654072e+00	9.8846698345e-11
1.950	1.4594497480e+00	1.2674468273e-10
1.960	1.4633389554e+00	1.3825538635e-10
1.970	1.4672330079e+00	1.3030872101e-10
1.980	1.4711318841e+00	1.1093820064e-10
1.990	1.4750355625e+00	9.3621644285e-11
2.000	1.4789440215e+00	9.6832703012e-11
2.010	1.4828572394e+00	1.1487172730e-10
2.020	1.4867751947e+00	1.2844216200e-10
2.030	1.4906978656e+00	1.3283069125e-10
2.040	1.4946252304e+00	1.3001030368e-10
2.050	1.4985572672e+00	1.2512081844e-10
2.060	1.5024939542e+00	1.2313045977e-10
2.070	1.5064352696e+00	1.2860197248e-10
