cal_S_function with E_thr = 10.0 MeV
T[MeV]	cal_S	cal_S_error
0.0	0.0	0.0
0.600	2.2044239218e-56	1.1792619818e-63
0.610	2.7872463418e-56	1.3310571242e-63
0.620	3.5023001105e-56	1.5015911513e-63
0.630	4.3746705500e-56	1.6965633024e-63
0.640	5.4332642912e-56	1.9230372964e-63
0.650	6.7112441802e-56	2.1894032641e-63
0.660	8.2464955153e-56	2.5061702347e-63
0.670	1.0082124238e-55	2.8863673268e-63
0.680	1.2266987620e-55	3.3460059044e-63
0.690	1.4856257896e-55	3.9046108639e-63
0.700	1.7912019226e-55	4.5849347237e-63
0.710	2.1503898271e-55	5.4103083922e-63
0.720	2.5709728604e-55	6.4169129435e-63
0.730	3.0616249084e-55	7.6438470181e-63
0.740	3.6319836278e-55	9.1373144924e-63
0.750	4.2927270910e-55	1.0951694153e-62
0.760	5.0556538274e-55	1.3150749740e-62
0.770	5.9337662493e-55	1.5808999407e-62
0.780	6.9413574418e-55	1.9013273012e-62
0.790	8.0941012942e-55	2.2864476600e-62
0.800	9.4091459434e-55	2.7479603712e-62
0.810	1.0905210496e-54	3.2993815722e-62
0.820	1.2602684990e-54	3.9563418884e-62
0.830	1.4523733562e-54	4.7368970226e-62
0.840	1.6692400764e-54	5.6557279692e-62
0.850	1.9134720994e-54	6.7313750606e-62
0.860	2.1878830983e-54	7.9953011569e-62
0.870	2.4955085298e-54	9.4724862045e-62
0.880	2.8396174787e-54	1.1186006424e-61
0.890	3.2237247940e-54	1.3175906715e-61
0.900	3.6516035086e-54	1.5470592424e-61
0.910	4.1272975383e-54	1.8098776609e-61
0.920	4.6551346540e-54	2.1127535899e-61
0.930	5.2397397219e-54	2.4611245856e-61
0.940	5.8860482056e-54	2.8528120189e-61
0.950	6.5993199242e-54	3.2979447065e-61
0.960	7.3851530620e-54	3.7983814593e-61
0.970	8.2494984229e-54	4.3583871027e-61
0.980	9.1986739254e-54	4.9908375011e-61
0.990	1.0239379332e-53	5.6809688484e-61
1.000	1.1378711209e-53	6.4522014489e-61
1.010	1.2624178108e-53	7.3139363461e-61
1.020	1.3983715973e-53	8.2752051221e-61
1.030	1.5465703754e-53	9.3458175557e-61
1.040	1.7078979240e-53	1.0536425652e-60
1.050	1.8832855092e-53	1.1827053686e-60
1.060	2.0737135078e-53	1.3181012781e-60
1.070	2.2802130511e-53	1.4657433295e-60
1.080	2.5038676876e-53	1.6272371003e-60
1.090	2.7458150645e-53	1.8036245810e-60
1.100	3.0072486290e-53	1.9960044409e-60
1.110	3.2894193464e-53	2.2055430570e-60
1.120	3.5936374376e-53	2.4334707205e-60
1.130	3.9212741337e-53	2.6755911390e-60
1.140	4.2737634478e-53	2.9191346692e-60
1.150	4.6526039650e-53	3.1807789214e-60
