cal_S_function with E_thr = 10.0 MeV
T[MeV]	cal_S	cal_S_error
0.0	0.0	0.0
0.100	2.0307690356e-41	3.3652407298e-50
0.110	5.1026576026e-39	3.2785314033e-46
0.120	5.6599678097e-37	1.2335535769e-45
0.130	3.3027039801e-35	1.4083136271e-42
0.140	1.1519477018e-33	5.8265634049e-41
0.150	2.6420535455e-32	1.0309005583e-39
0.160	4.2856887626e-31	1.2664623666e-38
0.170	5.2029661057e-30	1.3218448808e-37
0.180	4.9436363809e-29	1.2288145054e-36
0.190	3.8102760614e-28	9.9126734349e-36
0.200	2.4523960545e-27	6.8552412921e-35
0.210	1.3498619535e-26	4.0906057469e-34
0.220	6.4806276054e-26	2.1239207162e-33
0.230	2.7588715514e-25	9.7615143817e-33
0.240	1.0560001163e-24	4.0356053759e-32
0.250	3.6773494920e-24	1.5193621760e-31
0.260	1.1768501855e-23	5.2363998633e-31
0.270	3.4913049204e-23	3.2701802102e-29
0.280	9.6736887125e-23	5.0119849714e-30
0.290	2.5198102493e-22	1.4153318977e-29
0.300	6.2057195864e-22	3.7579235651e-29
0.310	1.4522479043e-21	9.4451046515e-29
0.320	3.2436419117e-21	2.2536142884e-28
0.330	6.9417415403e-21	5.0935995115e-28
0.340	1.4284289922e-20	1.0915316817e-27
0.350	2.8349930302e-20	2.2544464014e-27
0.360	5.4419637854e-20	4.4202569369e-27
0.370	1.0128701502e-19	8.3537536115e-27
0.380	1.8319893949e-19	1.5257508942e-26
0.390	3.2266017808e-19	2.6642349704e-26
0.400	5.5439596153e-19	4.8441040316e-25
0.410	9.3083465169e-19	4.7741713908e-25
0.420	1.5295485777e-18	4.1344888830e-25
0.430	2.4631723087e-18	2.8780476530e-25
0.440	3.8924049838e-18	1.1762009642e-25
0.450	6.0427931668e-18	1.1163489941e-26
0.460	9.2260825999e-18	2.9269868127e-25
0.470	1.3867018739e-17	9.2702053448e-25
0.480	2.0536565224e-17	2.0071530229e-24
0.490	2.9992594469e-17	3.6519618827e-24
0.500	4.3229183463e-17	5.9952579889e-24
0.510	6.1535718817e-17	9.1911509311e-24
0.520	8.6567076552e-17	1.3402075886e-23
0.530	1.2042619260e-16	1.8799409104e-23
0.540	1.6576037848e-16	2.5561625050e-23
0.550	2.2587276201e-16	3.3872810911e-23
0.560	3.0485024498e-16	4.3921674138e-23
0.570	4.0770936783e-16	5.5901201892e-23
0.580	5.4056145533e-16	7.0009133738e-23
0.590	7.1079838815e-16	8.6449409612e-23
0.600	9.2730030196e-16	1.0543476767e-22
0.610	1.2006664606e-15	1.2719062800e-22
0.620	1.5434704829e-15	1.5196042642e-22
0.630	1.9705410232e-15	1.8001288486e-22
0.640	2.4992689206e-15	2.1163265120e-22
0.650	3.1499417327e-15	2.4717174662e-22
0.660	3.9461064676e-15	2.8702939857e-22
0.670	4.9149612179e-15	3.3167624314e-22
0.680	6.0877762860e-15	3.8167208830e-22
0.690	7.5003452722e-15	4.3768644996e-22
0.700	9.1934664769e-15	5.0052222580e-22
0.710	1.1213454846e-14	5.7114267790e-22
0.720	1.3612684572e-14	6.5070213292e-22
0.730	1.6450162334e-14	7.4049038232e-22
0.740	1.9792131055e-14	8.4173040160e-22
0.750	2.3712703933e-14	9.5680023902e-22
0.760	2.8294528380e-14	1.0880064740e-21
0.770	3.3629479430e-14	1.2380668297e-21
0.780	3.9819382034e-14	1.4101700181e-21
0.790	4.6976761599e-14	1.6080419995e-21
0.800	5.5225622019e-14	1.8360191939e-21
0.810	6.4702250365e-14	2.0988401846e-21
0.820	7.5556047335e-14	2.4010482687e-21
0.830	8.7950382489e-14	2.7500491780e-21
0.840	1.0206347322e-13	3.1532585971e-21
0.850	1.1808928638e-13	3.6191328781e-21
0.860	1.3623846140e-13	4.1572857521e-21
0.870	1.5673925376e-13	4.7786147326e-21
0.880	1.7983849751e-13	5.4954392811e-21
0.890	2.0580258569e-13	6.3216150374e-21
0.900	2.3491846730e-13	7.2727711905e-21
0.910	2.6749465956e-13	8.3664552018e-21
0.920	3.0386227420e-13	9.6223044955e-21
0.930	3.4437605636e-13	1.1062269566e-20
0.940	3.8941543493e-13	1.2710845398e-20
0.950	4.3938558299e-13	1.4595319504e-20
0.960	4.9471848695e-13	1.6746047564e-20
0.970	5.5587402333e-13	1.9196753551e-20
0.980	6.2334104169e-13	2.1984861076e-20
0.990	6.9763845262e-13	2.5151856721e-20
1.000	7.7931631958e-13	2.8725066679e-20
1.010	8.6895695328e-13	3.2736623687e-20
1.020	9.6717600761e-13	3.7261907153e-20
1.030	1.0746235758e-12	4.2358929865e-20
1.040	1.1919852861e-12	4.8082391913e-20
1.050	1.3199833952e-12	5.4498452977e-20
1.060	1.4593778792e-12	6.1628997427e-20
1.070	1.6109675209e-12	6.9595424460e-20
1.080	1.7755909921e-12	7.8487374383e-20
1.090	1.9541279300e-12	8.8284344783e-20
1.100	2.1475000081e-12	9.9122417545e-20
1.110	2.3566719989e-12	1.1114232790e-19
1.120	2.5826528286e-12	1.2445646799e-19
1.130	2.8264966239e-12	1.3918677148e-19
1.140	3.0893037483e-12	1.5517980755e-19
1.150	3.3722218289e-12	1.7267590818e-19
1.160	3.6764467724e-12	1.9189926073e-19
1.170	4.0032237694e-12	2.1268931635e-19
1.180	4.3538482879e-12	2.3522629520e-19
1.190	4.7296670533e-12	2.5982673979e-19
1.200	5.1320790167e-12	2.8665035745e-19
1.210	5.5625363095e-12	3.1505722180e-19
1.220	6.0225451849e-12	3.4571158208e-19
1.230	6.5136669451e-12	3.7889773906e-19
1.240	7.0375188549e-12	4.1478727476e-19
1.250	7.5957750404e-12	4.5356118718e-19
1.260	8.1901673739e-12	4.9541002430e-19
1.270	8.8224863426e-12	5.4053483225e-19
1.280	9.4945819042e-12	5.8914795573e-19
1.290	1.0208364326e-11	6.4147280826e-19
1.300	1.0965805007e-11	6.9612242969e-19
1.310	1.1768937291e-11	7.5205549946e-19
1.320	1.2619857258e-11	8.1150620059e-19
1.330	1.3520724499e-11	8.7480050873e-19
1.340	1.4473762884e-11	9.4212925699e-19
1.350	1.5481261307e-11	1.0136902224e-18
1.360	1.6545574416e-11	1.0896884840e-18
1.370	1.7669123332e-11	1.1703371442e-18
1.380	1.8854396348e-11	1.2558586927e-18
1.390	2.0103949616e-11	1.3464892188e-18
1.400	2.1420407820e-11	1.4425252550e-18
1.410	2.2806464827e-11	1.5442149435e-18
1.420	2.4264884331e-11	1.6449139393e-18
1.430	2.5798500479e-11	1.7481620371e-18
1.440	2.7410218482e-11	1.8565606096e-18
1.450	2.9103015213e-11	1.9702890518e-18
1.460	3.0879939789e-11	2.0895306865e-18
1.470	3.2744114142e-11	2.2144723033e-18
1.480	3.4698733570e-11	2.3453041248e-18
1.490	3.6747067285e-11	2.4822195971e-18
1.500	3.8892458935e-11	2.6244433647e-18
1.510	4.1138327123e-11	2.7672167379e-18
1.520	4.3488165906e-11	2.9160620822e-18
1.530	4.5945545286e-11	3.0711533243e-18
1.540	4.8514111688e-11	3.2326665316e-18
1.550	5.1197588422e-11	3.4007799200e-18
1.560	5.3999776137e-11	3.5756736017e-18
1.570	5.6924553260e-11	3.7564686701e-18
1.580	5.9975876428e-11	3.9372613358e-18
1.590	6.3157780904e-11	4.1219069757e-18
1.600	6.6474380983e-11	4.3078582546e-18
1.610	6.9929870392e-11	4.5004043899e-18
1.620	7.3528522672e-11	4.6996939832e-18
1.630	7.7274691554e-11	4.9006167811e-18
1.640	8.1172811326e-11	5.1056252994e-18
1.650	8.5227397187e-11	5.3174329819e-18
1.660	8.9443045595e-11	5.5361790361e-18
1.670	9.3824434602e-11	5.7579247750e-18
1.680	9.8376324183e-11	5.9842412927e-18
1.690	1.0310355656e-10	6.2176413051e-18
1.700	1.0801105649e-10	6.4541054984e-18
1.710	1.1310383161e-10	6.6966457424e-18
1.720	1.1838697270e-10	6.9460110131e-18
1.730	1.2386565397e-10	7.2027798489e-18
1.740	1.2954513334e-10	7.4670839466e-18
1.750	1.3543075273e-10	7.7390562060e-18
1.760	1.4152793831e-10	8.0188311778e-18
1.770	1.4784220077e-10	8.3065442931e-18
1.780	1.5437913554e-10	8.6023326996e-18
1.790	1.6114442308e-10	8.9063347923e-18
1.800	1.6814382908e-10	9.2186301545e-18
1.810	1.7538320472e-10	9.5393965392e-18
1.820	1.8286848689e-10	9.8687866459e-18
1.830	1.9060569840e-10	1.0206942877e-17
1.840	1.9860094821e-10	1.0554004203e-17
1.850	2.0686043162e-10	1.0910119601e-17
1.860	2.1539043053e-10	1.1274025823e-17
1.870	2.2419731356e-10	1.1638609760e-17
1.880	2.3328753633e-10	1.2012377684e-17
1.890	2.4266764159e-10	1.2395473752e-17
1.900	2.5234425944e-10	1.2788046151e-17
1.910	2.6232410751e-10	1.3190258733e-17
1.920	2.7261399114e-10	1.3602265490e-17
1.930	2.8322080355e-10	1.4024199674e-17
1.940	2.9415152602e-10	1.4456209762e-17
1.950	3.0541322806e-10	1.4898447424e-17
1.960	3.1701306058e-10	2.9531737109e-16
1.970	3.2895828384e-10	2.8311267420e-16
1.980	3.4125622623e-10	2.7096647242e-16
1.990	3.5391431181e-10	2.5889031872e-16
2.000	3.6694005369e-10	2.4689583815e-16
2.010	3.8034105416e-10	2.3499474089e-16
2.020	3.9412500484e-10	2.2319884216e-16
2.030	4.0829968687e-10	2.1152008232e-16
2.040	4.2287297098e-10	1.9997055159e-16
2.050	4.3785281773e-10	1.8856251705e-16
2.060	4.5324727755e-10	1.7730845555e-16
2.070	4.6906449098e-10	1.6622109163e-16
2.080	4.8531268873e-10	1.5531344130e-16
2.090	5.0200019188e-10	1.4459886518e-16
2.100	5.1913541196e-10	1.3409112813e-16
2.110	5.3672685113e-10	1.2380447526e-16
2.120	5.5478310229e-10	1.1375371919e-16
2.130	5.7331284923e-10	1.0395434748e-16
2.140	5.9232486674e-10	9.4422655947e-17
2.150	6.1182802076e-10	8.5175912479e-17
