cal_S_function with E_thr = 15.0 MeV
T[MeV]	cal_S	cal_S_error
0.0	0.0	0.0
0.600	6.3114786919e-61	2.4815102473e-68
0.610	1.0211228587e-60	3.9743272544e-68
0.620	1.6280401855e-60	6.2844642354e-68
0.630	2.5597122671e-60	9.8166034861e-68
0.640	3.9713321760e-60	1.5152116163e-67
0.650	6.0836374942e-60	2.3127974951e-67
0.660	9.2070325367e-60	3.4927325475e-67
0.670	1.3773293527e-59	5.2210581911e-67
0.680	2.0376831936e-59	7.7287294474e-67
0.690	2.9827896058e-59	1.1334383291e-66
0.700	4.3220554443e-59	1.6474058893e-66
0.710	6.2018831112e-59	2.3739958041e-66
0.720	8.8164955603e-59	3.3930617151e-66
0.730	1.2421435416e-58	4.8115528091e-66
0.740	1.7350274501e-58	6.7717771447e-66
0.750	2.4035151318e-58	9.4619416187e-66
0.760	3.3031843061e-58	1.3129533405e-65
0.770	4.5050175720e-58	1.8098240571e-65
0.780	6.0990680813e-58	2.4789299828e-65
0.790	8.1988520284e-58	3.3748350461e-65
0.800	1.0946582212e-57	4.5679194829e-65
0.810	1.4519369800e-57	6.1486177336e-65
0.820	1.9136535093e-57	8.2272520485e-65
0.830	2.5068182457e-57	1.0944593160e-64
0.840	3.2645209706e-57	1.4488476165e-64
0.850	4.2270938004e-57	1.9091495280e-64
0.860	5.4434564734e-57	2.5047146241e-64
0.870	6.9726658802e-57	3.2725906367e-64
0.880	8.8856935353e-57	4.2595191979e-64
0.890	1.1267456486e-56	5.5245011702e-64
0.900	1.4219129001e-56	7.1389414318e-64
0.910	1.7860764248e-56	9.1780542635e-64
0.920	2.2334257097e-56	1.1740221300e-63
0.930	2.7806681078e-56	1.4913061484e-63
0.940	3.4474034509e-56	1.8823714328e-63
0.950	4.2565432732e-56	2.3642687408e-63
0.960	5.2347785371e-56	2.9602781992e-63
0.970	6.4130999454e-56	3.6752764943e-63
0.980	7.8273751215e-56	4.5471790757e-63
0.990	9.5189871292e-56	5.5904471850e-63
1.000	1.1535538995e-55	6.8154104608e-63
1.010	1.3931629081e-55	8.2595520004e-63
1.020	1.6769702346e-55	9.9782614728e-63
1.030	2.0120982703e-55	1.1990702043e-62
1.040	2.4066491868e-55	1.4302397606e-62
1.050	2.8698160254e-55	1.6939535881e-62
1.060	3.4120035636e-55	1.9983973964e-62
1.070	4.0449595472e-55	2.3434388846e-62
1.080	4.7819168920e-55	4.7258900859e-61
1.090	5.6377474730e-55	5.4090950287e-61
1.100	6.6291281322e-55	6.1758721843e-61
1.110	7.7747195540e-55	7.0328479078e-61
1.120	9.0953586633e-55	7.9902310065e-61
1.130	1.0614265217e-54	9.0574974046e-61
1.140	1.2357263272e-54	1.0245931202e-60
1.150	1.4353018218e-54	1.1566933481e-60
1.160	1.6633290079e-54	1.3032546277e-60
1.170	1.9233203795e-54	1.4655652503e-60
1.180	2.2191537190e-54	1.6450015902e-60
1.190	2.5551027377e-54	1.8430322293e-60
1.200	2.9358696295e-54	2.0611024021e-60
1.210	3.3666196156e-54	2.3008936131e-60
1.220	3.8530175513e-54	2.5642428722e-60
1.230	4.4012666704e-54	2.8530254149e-60
1.240	5.0181495444e-54	3.1692306938e-60
1.250	5.7110713274e-54	3.5149673621e-60
1.260	6.4881053674e-54	3.8924684430e-60
1.270	7.3580412553e-54	4.3040967239e-60
1.280	8.3304353902e-54	4.7523504038e-60
1.290	9.4156641353e-54	5.2398689777e-60
1.300	1.0624979641e-53	5.7694394677e-60
1.310	1.1970568411e-53	6.3440029329e-60
1.320	1.3465612686e-53	6.9666613915e-60
1.330	1.5124354717e-53	7.6406851784e-60
1.340	1.6962164020e-53	8.3695206707e-60
1.350	1.8995607654e-53	9.1567987209e-60
1.360	2.1242523634e-53	1.0006343565e-59
1.370	2.3722097527e-53	1.0922182384e-59
1.380	2.6454942318e-53	1.1908555783e-59
1.390	2.9463181607e-53	1.2969929112e-59
1.400	3.2770536224e-53	1.4111004652e-59
1.410	3.6402414324e-53	1.5336735291e-59
1.420	4.0386005038e-53	1.6652332892e-59
1.430	4.4750375747e-53	1.8062963767e-59
1.440	4.9526573053e-53	1.9574671777e-59
1.450	5.4747727514e-53	2.1193617658e-59
1.460	6.0449162215e-53	2.2926259380e-59
1.470	6.6668505238e-53	2.4779423077e-59
1.480	7.3445806106e-53	2.6760300537e-59
1.490	8.0823656257e-53	2.8876555081e-59
1.500	8.8847313629e-53	3.1136314907e-59
1.510	9.7564831401e-53	3.3544752443e-59
1.520	1.0702719098e-52	3.6112395033e-59
1.530	1.1728843927e-52	3.8849592564e-59
1.540	1.2840583030e-52	4.1766484548e-59
1.550	1.4043997129e-52	4.4873899497e-59
1.560	1.5345497318e-52	4.8183432204e-59
1.570	1.6751860572e-52	5.1707533831e-59
1.580	1.8270245711e-52	5.5459619822e-59
1.590	1.9908209837e-52	5.9454197969e-59
1.600	2.1673725242e-52	6.3707023363e-59
1.610	2.3575196784e-52	6.8235285966e-59
1.620	2.5621479718e-52	2.5445451307e-58
1.630	2.7821898216e-52	2.7067515441e-58
1.640	3.0186263967e-52	2.8776343003e-58
1.650	3.2724895691e-52	3.0575378074e-58
1.660	3.5448638952e-52	3.2466164334e-58
1.670	3.8368886521e-52	3.4448605209e-58
1.680	4.1497599257e-52	3.6527159687e-58
1.690	4.4847327502e-52	3.8710929524e-58
1.700	4.8431233013e-52	4.0994945510e-58
1.710	5.2263111410e-52	4.3388852534e-58
1.720	5.6357415168e-52	4.5899712336e-58
1.730	6.0729277151e-52	4.8524250802e-58
1.740	6.5394534680e-52	5.1261582853e-58
1.750	7.0369754162e-52	5.4126724110e-58
1.760	7.5672256261e-52	5.7105607043e-58
1.770	8.1320141641e-52	6.0212296710e-58
1.780	8.7332317258e-52	6.3426375309e-58
1.790	9.3728523227e-52	6.6777699680e-58
1.800	1.0052936026e-51	7.0270698978e-58
1.810	1.0775631767e-51	7.3909909032e-58
1.820	1.1543180197e-51	7.7668912896e-58
1.830	1.2357916605e-51	8.1549447198e-58
1.840	1.3222273893e-51	8.5556344952e-58
1.850	1.4138785611e-51	8.9716919871e-58
1.860	1.5110089053e-51	9.4022000161e-58
1.870	1.6138928411e-51	9.8449663413e-58
1.880	1.7228157993e-51	1.0303981147e-57
1.890	1.8380745493e-51	1.0779649559e-57
1.900	1.9599775333e-51	1.1267945744e-57
1.910	2.0888452059e-51	1.1769867733e-57
1.920	2.2250103801e-51	1.2286621604e-57
1.930	2.3688185795e-51	1.2817707542e-57
1.940	2.5206283968e-51	1.3366000276e-57
1.950	2.6808118587e-51	1.3930400933e-57
1.960	2.8497547965e-51	1.4511531377e-57
1.970	3.0278572238e-51	1.5111764309e-57
1.980	3.2155337201e-51	1.5731877102e-57
1.990	3.4132138213e-51	1.6372242220e-57
2.000	3.6213424157e-51	1.7033243165e-57
2.010	3.8403801476e-51	1.7715272769e-57
2.020	4.0708038267e-51	1.8418716431e-57
2.030	4.3131068441e-51	1.9143904250e-57
2.040	4.5677995950e-51	1.9888394460e-57
2.050	4.8354099081e-51	2.0655437072e-57
2.060	5.1164834813e-51	2.1445488243e-57
2.070	5.4115843241e-51	2.2259026611e-57
2.080	5.7212952070e-51	2.3096482770e-57
2.090	6.0462181175e-51	2.3958293982e-57
2.100	6.3869747223e-51	2.4844903627e-57
2.110	6.7442068367e-51	2.5756761345e-57
2.120	7.1185769013e-51	2.6694322505e-57
2.130	7.5107684641e-51	2.7658048467e-57
2.140	7.9214866709e-51	2.8648406255e-57
2.150	8.3514587618e-51	2.9665868513e-57
2.160	8.8014451988e-51	8.5355266633e-57
2.170	9.2721980492e-51	8.6138181536e-57
2.180	9.7645241478e-51	8.6888448440e-57
2.190	1.0279244215e-50	8.7605153723e-57
2.200	1.0817203654e-50	8.8287414182e-57
2.210	1.1379273086e-50	8.8934379021e-57
2.220	1.1966348896e-50	8.9545231530e-57
2.230	1.2579353786e-50	9.0119190391e-57
2.240	1.3219237337e-50	9.0655511627e-57
2.250	1.3886976568e-50	9.1153490046e-57
2.260	1.4583576517e-50	9.1612461472e-57
2.270	1.5310070819e-50	9.2031803680e-57
2.280	1.6067522292e-50	9.2410938874e-57
2.290	1.6857023535e-50	9.2749334972e-57
2.300	1.7679697529e-50	9.3046507735e-57
2.310	1.8536698244e-50	9.3302022563e-57
2.320	1.9429211260e-50	9.3515260122e-57
2.330	2.0358454388e-50	9.3683948949e-57
2.340	2.1325678301e-50	9.3809911791e-57
2.350	2.2332167173e-50	9.3892928514e-57
2.360	2.3379239326e-50	9.3932838402e-57
2.370	2.4468247880e-50	9.3929541864e-57
2.380	2.5600581415e-50	9.3883003514e-57
2.390	2.6777664641e-50	9.3793253245e-57
2.400	2.8000959066e-50	9.3660389600e-57
2.410	2.9271963687e-50	9.3484581326e-57
2.420	3.0592215673e-50	9.3266070258e-57
2.430	3.1963291065e-50	9.3005173866e-57
2.440	3.3386805483e-50	9.2702287878e-57
2.450	3.4864414830e-50	9.2357888808e-57
2.460	3.6397816022e-50	9.1972537682e-57
2.470	3.7988747707e-50	9.1546881735e-57
2.480	3.9638991000e-50	9.1081659206e-57
2.490	4.1350370231e-50	9.0577701625e-57
2.500	4.3124753686e-50	9.0035938028e-57
2.510	4.4964054370e-50	8.9457398146e-57
2.520	4.6870230768e-50	8.8842875188e-57
2.530	4.8845287621e-50	8.8191745608e-57
2.540	5.0891276697e-50	8.7507224920e-57
2.550	5.3010297588e-50	8.6790752110e-57
2.560	5.5204498497e-50	8.6043887078e-57
2.570	5.7476077045e-50	8.5268315135e-57
2.580	5.9827281077e-50	8.4465852815e-57
2.590	6.2260409480e-50	8.3638454465e-57
2.600	6.4777813010e-50	8.2788219006e-57
2.610	6.7381895122e-50	8.1917397280e-57
2.620	7.0075112810e-50	8.1028399124e-57
2.630	7.2859977457e-50	8.0123804758e-57
2.640	7.5739055686e-50	7.9206370857e-57
2.650	7.8714970226e-50	7.8279044959e-57
2.660	8.1790400783e-50	7.7344105869e-57
2.670	8.4968084913e-50	7.6405149266e-57
2.680	8.8250818915e-50	7.5466262217e-57
2.690	9.1641458717e-50	7.4531179251e-57
2.700	9.5142920781e-50	7.3604077330e-57
2.710	9.8758183012e-50	7.2689344394e-57
2.720	1.0249028567e-49	7.1791669784e-57
2.730	1.0634233230e-49	7.0916081474e-57
2.740	1.1031749065e-49	7.0067976983e-57
2.750	1.1441899363e-49	6.9250767894e-57
2.760	1.1865014024e-49	6.8467441388e-57
2.770	1.2301429654e-49	6.7719963088e-57
2.780	1.2751489661e-49	6.7006405506e-57
2.790	1.3215544348e-49	6.6327950777e-57
2.800	1.3693951017e-49	6.5700526164e-57
2.810	1.4187074065e-49	6.5139790046e-57
2.820	1.4695285079e-49	6.4654240350e-57
2.830	1.5218962944e-49	6.4228666473e-57
2.840	1.5758493936e-49	6.3878090387e-57
2.850	1.6314271828e-49	6.3627290419e-57
2.860	1.6886697991e-49	6.3488045566e-57
2.870	1.7476181496e-49	6.3473621565e-57
2.880	1.8083139221e-49	6.3588431190e-57
2.890	1.8707995951e-49	6.3806672625e-57
2.900	1.9351184487e-49	6.4195618412e-57
2.910	2.0013145748e-49	6.4780800233e-57
2.920	2.0694328882e-49	6.5596236953e-57
2.930	2.1395191371e-49	6.6630202641e-57
2.940	2.2116199140e-49	6.8029375978e-57
2.950	2.2857826666e-49	7.0279043567e-57
2.960	2.3620557085e-49	7.3268410032e-57
2.970	2.4404882308e-49	7.6674129724e-57
2.980	2.5211303126e-49	8.0431209828e-57
2.990	2.6040329326e-49	8.4510310525e-57
3.000	2.6892479803e-49	8.8895197038e-57
3.010	2.7768282671e-49	9.3576182929e-57
3.020	2.8668275380e-49	9.8547405456e-57
3.030	2.9593004828e-49	1.0371698483e-56
3.040	3.0543027479e-49	1.0914496614e-56
3.050	3.1518909478e-49	1.1474320319e-56
3.060	3.2521226767e-49	1.2060739260e-56
3.070	3.3550565205e-49	1.2674479466e-56
3.080	3.4607520682e-49	1.3315651679e-56
3.090	3.5692699244e-49	1.3984410079e-56
3.100	3.6806717207e-49	1.4677124718e-56
3.110	3.7950201283e-49	1.5388902105e-56
3.120	3.9123788693e-49	1.6128630973e-56
3.130	4.0328127298e-49	1.6896564195e-56
3.140	4.1563875716e-49	1.7692972359e-56
3.150	4.2831703444e-49	1.8518142656e-56
3.160	4.4132290987e-49	1.9365558746e-56
3.170	4.5466329977e-49	2.0234455128e-56
3.180	4.6834523302e-49	2.1124745925e-56
3.190	4.8237585228e-49	2.2045046564e-56
3.200	4.9676241530e-49	2.2994075170e-56
3.210	5.1151229615e-49	2.3964895376e-56
3.220	5.2663298653e-49	2.4966866943e-56
3.230	5.4213209700e-49	2.6000303714e-56
3.240	5.5801735834e-49	2.7058258818e-56
3.250	5.7429662280e-49	2.8148003884e-56
3.260	5.9097786539e-49	2.9266429837e-56
3.270	6.0806918524e-49	3.0415826876e-56
3.280	6.2557880687e-49	3.1598388381e-56
3.290	6.4351508151e-49	3.2814735272e-56
3.300	6.6188648846e-49	3.4065209334e-56
3.310	6.8070163637e-49	3.5350161615e-56
3.320	6.9996926465e-49	3.6669952113e-56
3.330	7.1969824472e-49	3.8024948755e-56
3.340	7.3989758144e-49	3.9415528081e-56
3.350	7.6057641441e-49	4.0842073224e-56
3.360	7.8174401938e-49	4.2304974586e-56
3.370	8.0340980954e-49	4.3804629033e-56
3.380	8.2558333697e-49	4.5336424997e-56
3.390	8.4827429398e-49	4.6904858409e-56
3.400	8.7149251446e-49	4.8511355320e-56
3.410	8.9524797533e-49	5.0156326006e-56
3.420	9.1955079788e-49	5.1840186302e-56
3.430	9.4441124917e-49	5.3563359496e-56
3.440	9.6983974347e-49	5.5326273303e-56
3.450	9.9584684360e-49	5.7129363230e-56
3.460	1.0224432624e-48	5.8973069368e-56
3.470	1.0496398641e-48	6.0857838191e-56
3.480	1.0774476658e-48	6.2784121356e-56
3.490	1.1058778389e-48	6.4752376396e-56
3.500	1.1349417102e-48	6.6763066129e-56
3.510	1.1646507639e-48	6.8816659544e-56
3.520	1.1950166426e-48	7.0913631364e-56
3.530	1.2260511490e-48	7.3051464949e-56
3.540	1.2577662471e-48	7.5232559502e-56
3.550	1.2901740638e-48	7.7458215856e-56
3.560	1.3232868904e-48	7.9728918803e-56
3.570	1.3571171839e-48	8.2045157748e-56
3.580	1.3916775684e-48	8.4407427983e-56
3.590	1.4269808370e-48	8.6816230442e-56
3.600	1.4630399527e-48	8.9272070920e-56
3.610	1.4998680502e-48	9.1775461636e-56
3.620	1.5374784372e-48	9.4326920743e-56
3.630	1.5758845962e-48	9.6926971998e-56
3.640	1.6151001855e-48	9.9576145721e-56
3.650	1.6551390409e-48	1.0227497842e-55
3.660	1.6960151774e-48	1.0502401203e-55
3.670	1.7377427904e-48	1.0782379674e-55
3.680	1.7803362571e-48	1.1067488885e-55
3.690	1.8238101383e-48	1.1357785005e-55
3.700	1.8681791796e-48	1.1653325193e-55
3.710	1.9134583132e-48	1.1954107003e-55
3.720	1.9596626591e-48	1.2260242496e-55
3.730	2.0068075268e-48	1.2571796105e-55
3.740	2.0549084165e-48	1.2888828078e-55
3.750	2.1039810209e-48	1.3211399273e-55
3.760	2.1540412268e-48	1.3539548328e-55
3.770	2.2051051161e-48	1.3873351767e-55
3.780	2.2571889676e-48	1.4212880713e-55
3.790	2.3103092588e-48	1.4558199747e-55
3.800	2.3644826668e-48	1.4909374120e-55
3.810	2.4197260701e-48	1.5266470295e-55
3.820	2.4760565502e-48	1.5629476743e-55
3.830	2.5334913931e-48	1.5998277018e-55
3.840	2.5920480903e-48	1.6373202285e-55
3.850	2.6517443412e-48	1.6754323328e-55
3.860	2.7125980538e-48	1.7141711836e-55
3.870	2.7746273465e-48	1.7535440956e-55
3.880	2.8378505496e-48	1.7935585093e-55
3.890	2.9022862070e-48	1.8342219834e-55
3.900	2.9679530772e-48	1.8755422160e-55
3.910	3.0348701353e-48	1.9175270587e-55
3.920	3.1030565743e-48	1.9601844861e-55
3.930	3.1725318064e-48	2.0035226516e-55
3.940	3.2433154649e-48	2.0475498428e-55
3.950	3.3154274053e-48	2.0922745322e-55
3.960	3.3888877070e-48	2.1377053292e-55
