cal_S_function with E_thr = 15.0 MeV
T[MeV]	cal_S	cal_S_error
0.0	0.0	0.0
0.100	8.4732129223e-84	3.2135505751e-90
0.110	4.8287834508e-77	1.3632380939e-83
0.120	2.1059743516e-71	4.6027078686e-78
0.130	1.2695222366e-66	2.2301949361e-73
0.140	1.6140131133e-62	1.4566167836e-68
0.150	5.9008435746e-59	4.3521827762e-65
0.160	7.8293362096e-56	4.8013763662e-62
0.170	4.5048071507e-53	2.3336437448e-59
0.180	1.2911005947e-50	5.7344378717e-57
0.190	2.0565045477e-48	7.9437507162e-55
0.200	1.9872561557e-46	6.7784557494e-53
0.210	1.2507530724e-44	3.8208538250e-51
0.220	5.4341557642e-43	1.4944267293e-49
0.230	1.7100453902e-41	4.2284713183e-48
0.240	4.0569862921e-40	9.0479125430e-47
0.250	7.5049877368e-39	1.5261708150e-45
0.260	1.1138700486e-37	2.0869198381e-44
0.270	1.3589903340e-36	2.3693015159e-43
0.280	1.3917206150e-35	2.2809694916e-42
0.290	1.2180185511e-34	1.8952857284e-41
0.300	9.2533026882e-34	1.3839634397e-40
0.310	6.1856447443e-33	9.0373814325e-40
0.320	3.6820350544e-32	5.3468715872e-39
0.330	1.9722007469e-31	2.8407649810e-38
0.340	9.5937341818e-31	1.3434180865e-37
0.350	4.2732089871e-30	5.6632669774e-37
0.360	1.7555517752e-29	2.1413097174e-36
0.370	6.6955923715e-29	7.3445279565e-36
0.380	2.3845547219e-28	2.3707864829e-35
0.390	7.9714557038e-28	7.2648337147e-35
0.400	2.5131786914e-27	2.1189656121e-34
0.410	7.5042874778e-27	5.8995319329e-34
0.420	2.1304241212e-26	1.5713132187e-33
0.430	5.7704379891e-26	4.0132647027e-33
0.440	1.4959466640e-25	9.8533803470e-33
0.450	3.7225856666e-25	2.3309872187e-32
0.460	8.9154342583e-25	5.3234952410e-32
0.470	2.0599671588e-24	1.1768609404e-31
0.480	4.6021607780e-24	2.5234343618e-31
0.490	9.9616767456e-24	5.2577186139e-31
0.500	2.0930871298e-23	1.0663153852e-30
0.510	4.2763953992e-23	2.1083843103e-30
0.520	8.5093834491e-23	4.0700828266e-30
0.530	1.6515433228e-22	7.6804908616e-30
0.540	3.1307483249e-22	1.4186535182e-29
0.550	5.8039590691e-22	2.5677840619e-29
0.560	1.0534915246e-21	4.5595346209e-29
0.570	1.8743256649e-21	7.9511268223e-29
0.580	3.2719786749e-21	1.3630561198e-28
0.590	5.6097237144e-21	2.2992735981e-28
0.600	9.4542009587e-21	3.8195806930e-28
0.610	1.5675524996e-20	6.2537132236e-28
0.620	2.5590080693e-20	1.0098691652e-27
0.630	4.1161439669e-20	1.6094377256e-27
0.640	6.5279401222e-20	2.5329586805e-27
0.650	1.0214277755e-19	3.9390262177e-27
0.660	1.5777836340e-19	6.0537535115e-27
0.670	2.4073672327e-19	9.2017532322e-27
0.680	3.6301516908e-19	1.3839873033e-26
0.690	5.4126976711e-19	2.0606362606e-26
0.700	7.9839158226e-19	3.0385134086e-26
0.710	1.1655378183e-18	4.4389835427e-26
0.720	1.6847262142e-18	6.4273910289e-26
0.730	2.4121211715e-18	9.2272224738e-26
0.740	3.4221627645e-18	1.3138347179e-25
0.750	4.8127151578e-18	1.8560281586e-25
0.760	6.7114391406e-18	2.6021815898e-25
0.770	9.2836245744e-18	3.6218323187e-25
0.780	1.2741752616e-17	5.0058707901e-25
0.790	1.7357094660e-17	6.8724121310e-25
0.800	2.3473695060e-17	9.3741102494e-25
0.810	3.1525127835e-17	1.2707235393e-24
0.820	4.2054463675e-17	1.7122901019e-24
0.830	5.5737932608e-17	2.2940912130e-24
0.840	7.3412819516e-17	3.0566807880e-24
0.850	9.6110184196e-17	4.0512812170e-24
0.860	1.2509305471e-16	5.3419920323e-24
0.870	1.6190080212e-16	7.0050749002e-24
0.880	2.0840046620e-16	9.1385042950e-24
0.890	2.6684586501e-16	1.1867690453e-23
0.900	3.3994538641e-16	1.5345184609e-23
0.910	4.3093942575e-16	1.9759639603e-23
0.920	5.4368850145e-16	2.5343918688e-23
0.930	6.8277314857e-16	3.2385060372e-23
0.940	8.5360675887e-16	4.1236582066e-23
0.950	1.0625626049e-15	5.2333766360e-23
0.960	1.3171163543e-15	6.6189022114e-23
0.970	1.6260054481e-15	8.3336963562e-23
0.980	1.9994067853e-15	1.0452524411e-22
0.990	2.4491342212e-15	1.3035461299e-22
1.000	2.9888574515e-15	1.6180801291e-22
1.010	3.6343439183e-15	1.9957389051e-22
1.020	4.4037254348e-15	2.4533343749e-22
1.030	5.3177912829e-15	3.0072948605e-22
1.040	6.4003095959e-15	3.6631007604e-22
1.050	7.6783788907e-15	4.4438966500e-22
1.060	9.1828116643e-15	5.3759965529e-22
1.070	1.0948552017e-14	6.4589618033e-22
1.080	1.3015129305e-14	7.7094004197e-22
1.090	1.5427149878e-14	9.1636357202e-22
1.100	1.8234828963e-14	1.0862809533e-21
1.110	2.1494564836e-14	1.2843251323e-21
1.120	2.5269557401e-14	1.5076634679e-21
1.130	2.9630473353e-14	1.7611469324e-21
1.140	3.4656160117e-14	2.0483006131e-21
1.150	4.0434410753e-14	2.3744460692e-21
1.160	4.7062782056e-14	2.7385156477e-21
1.170	5.4649468064e-14	5.4525655058e-20
1.180	6.3314231216e-14	6.1633355536e-20
1.190	7.3189393348e-14	6.9520034933e-20
1.200	8.4420888803e-14	7.8255474152e-20
1.210	9.7169381823e-14	8.7902335275e-20
1.220	1.1161145044e-13	9.8550402253e-20
1.230	1.2794083903e-13	1.1028326193e-19
1.240	1.4636978177e-13	1.2319552055e-19
1.250	1.6713039896e-13	1.3738826158e-19
1.260	1.9047616857e-13	1.5296414278e-19
1.270	2.1668347484e-13	1.7003202288e-19
1.280	2.4605323618e-13	1.8870719927e-19
1.290	2.7891261420e-13	2.0911165059e-19
1.300	3.1561680606e-13	2.3137428310e-19
1.310	3.5655092176e-13	2.5562854683e-19
1.320	4.0213194857e-13	2.8201101055e-19
1.330	4.5281080423e-13	3.1067005786e-19
1.340	5.0907448067e-13	3.4177354463e-19
1.350	5.7144828018e-13	3.7548836446e-19
1.360	6.4049814544e-13	4.1198985993e-19
1.370	7.1683308530e-13	4.5146209813e-19
1.380	8.0110769758e-13	4.9409815119e-19
1.390	8.9402479060e-13	5.4010038660e-19
1.400	9.9633810482e-13	5.8968075875e-19
1.410	1.1088551358e-12	6.4306111775e-19
1.420	1.2324400603e-12	7.0047351419e-19
1.430	1.3680167657e-12	7.6216052986e-19
1.440	1.5165719855e-12	8.2837559932e-19
1.450	1.6791585402e-12	8.9938321678e-19
1.460	1.8568986865e-12	9.7545956421e-19
1.470	2.0509875738e-12	1.0568928452e-18
1.480	2.2626968111e-12	1.1439834938e-18
1.490	2.4933781426e-12	1.2370446640e-18
