cal_S_function with E_thr = 4.5 MeV
T[MeV]	cal_S	cal_S_error
0.0	0.0	0.0
0.600	4.5348482961e-54	9.8957040426e-61
0.610	5.2890508585e-54	1.0773588760e-60
0.620	6.1463660300e-54	1.1676807414e-60
0.630	7.1178893500e-54	1.2638786455e-60
0.640	8.2155905377e-54	1.3665700221e-60
0.650	9.4523572933e-54	1.4733701300e-60
0.660	1.0842040063e-53	1.5828623072e-60
0.670	1.2399497767e-53	1.6953144045e-60
0.680	1.4140644506e-53	1.8128643930e-60
0.690	1.6082497229e-53	1.9361173429e-60
0.700	1.8243224396e-53	2.0659991369e-60
0.710	2.0642195619e-53	2.2039858377e-60
0.720	2.3300032300e-53	2.3505739024e-60
0.730	2.6238659278e-53	2.5062894533e-60
0.740	2.9481357474e-53	2.6716905743e-60
0.750	3.3052817575e-53	2.8473697309e-60
0.760	3.6979194736e-53	3.0339564548e-60
0.770	4.1288164329e-53	3.2321200796e-60
0.780	4.6008978742e-53	3.4425725415e-60
0.790	5.1172525241e-53	3.6660470628e-60
0.800	5.6811384908e-53	3.9032003039e-60
0.810	6.2959892663e-53	4.1540335107e-60
0.820	6.9654198379e-53	4.4131323127e-60
0.830	7.6932329110e-53	4.6881856529e-60
0.840	8.4834252437e-53	4.9802262900e-60
0.850	9.3401940946e-53	5.2903112090e-60
0.860	1.0267943784e-52	5.6195650388e-60
0.870	1.1271292374e-52	5.9691841811e-60
0.880	1.2355078458e-52	6.3404404870e-60
0.890	1.3524368077e-52	6.7346858235e-60
0.900	1.4784461747e-52	7.1533562384e-60
0.910	1.6140901613e-52	7.5979769683e-60
0.920	1.7599478715e-52	8.0701670637e-60
0.930	1.9166240390e-52	8.5716447524e-60
0.940	2.0847497783e-52	9.1042332306e-60
0.950	2.2649833489e-52	9.6698665453e-60
0.960	2.4580109325e-52	1.0270596615e-59
0.970	2.6645474218e-52	1.0908599212e-59
0.980	2.8853372227e-52	1.1586183112e-59
0.990	3.1211550695e-52	1.2305797143e-59
1.000	3.3728068524e-52	1.3070040947e-59
1.010	3.6411304586e-52	1.3881673954e-59
1.020	3.9269966264e-52	1.4743627088e-59
1.030	4.2313098120e-52	1.5659015741e-59
1.040	4.5550090706e-52	1.6631153773e-59
1.050	4.8990689500e-52	1.7660394818e-59
1.060	5.2645003981e-52	1.8751210545e-59
