cal_S_function with E_thr = 4.5 MeV
T[MeV]	cal_S	cal_S_error
0.0	0.0	0.0
0.100	3.0903419914e-30	1.4341956447e-36
0.110	1.4495044093e-28	1.3982429994e-34
0.120	3.7072183657e-27	2.5986644235e-33
0.130	5.9352726357e-26	3.0930075450e-32
0.140	6.5652516682e-25	2.5958083541e-31
0.150	5.3944020229e-24	3.9714884190e-30
0.160	3.4765668520e-23	1.4624167643e-29
0.170	1.8322401816e-22	4.3584025137e-29
0.180	8.1575091437e-22	1.0736286658e-28
0.190	3.1481382687e-21	2.2022579859e-28
0.200	1.0750822034e-20	3.7308699537e-28
0.210	3.3037607084e-20	5.0283157887e-28
0.220	9.2627433144e-20	4.9312100009e-28
0.230	2.3966195052e-19	4.5607340818e-28
0.240	5.7775212500e-19	2.4223847948e-27
0.250	1.3081947910e-18	8.8852960090e-27
0.260	2.8013762304e-18	2.4952005627e-26
0.270	5.7067508623e-18	6.0017554272e-26
0.280	1.1115303176e-17	1.2997981281e-25
0.290	2.0790808885e-17	2.6030690486e-25
0.300	3.7488347833e-17	4.9009035007e-25
0.310	6.5380245192e-17	8.7758820949e-25
0.320	1.1061081721e-16	1.5080187786e-24
0.330	1.8200189821e-16	2.5036270068e-24
0.340	2.9193049977e-16	2.2551246933e-22
0.350	4.5740318873e-16	2.5516717693e-22
0.360	7.0133942681e-16	3.1474844028e-22
0.370	1.0540918296e-15	4.2148181810e-22
0.380	1.5552123891e-15	6.0060966553e-22
0.390	2.2554806191e-15	8.8903504858e-22
0.400	3.2192036738e-15	1.3350755535e-21
0.410	4.5267958730e-15	1.9908833181e-21
0.420	6.2776419697e-15	2.9317886468e-21
0.430	8.5932454149e-15	4.2437061108e-21
0.440	1.1620659898e-14	6.0253250553e-21
0.450	1.5536199613e-14	8.3887655444e-21
0.460	2.0549421098e-14	1.1415664388e-20
0.470	2.6907367111e-14	1.5246784125e-20
0.480	3.4899060935e-14	2.0029699926e-20
0.490	4.4860237688e-14	2.5833564015e-20
0.500	5.7178297702e-14	3.2817100959e-20
0.510	7.2297465827e-14	4.1160290701e-20
0.520	9.0724139582e-14	5.1026702870e-20
0.530	1.1303240841e-13	6.2588583445e-20
0.540	1.3986972587e-13	7.6027207600e-20
0.550	1.7196271647e-13	9.1533365443e-20
0.560	2.1012309878e-13	1.0925612417e-19
0.570	2.5525370685e-13	1.2877914301e-19
0.580	3.0835459207e-13	1.5035454886e-19
0.590	3.7052918847e-13	1.7445372267e-19
0.600	4.4299052481e-13	2.0125385586e-19
0.610	5.2706746761e-13	2.3093857895e-19
0.620	6.2421098027e-13	2.6369839892e-19
0.630	7.3600038398e-13	2.9973112052e-19
0.640	8.6414960729e-13	3.3924233051e-19
0.650	1.0105134121e-12	3.8208229653e-19
0.660	1.1770935844e-12	4.2777651269e-19
0.670	1.3660450800e-12	4.7729476153e-19
0.680	1.5796821151e-12	5.3083656211e-19
0.690	1.8204841938e-12	5.8860959669e-19
0.700	2.0911020640e-12	6.4925364935e-19
0.710	2.3943635964e-12	7.1340362896e-19
0.720	2.7332795793e-12	7.8141966441e-19
0.730	3.1110494248e-12	8.5231423084e-19
0.740	3.5310667816e-12	9.2768571017e-19
0.750	3.9969250515e-12	1.0077113322e-18
0.760	4.5124228061e-12	1.0925728310e-18
0.770	5.0815691007e-12	1.1824565616e-18
0.780	5.7085886858e-12	1.2763501149e-18
