cal_S_function with E_thr = 5.0 MeV
T[MeV]	cal_S	cal_S_error
0.0	0.0	0.0
0.600	1.2195522401e-55	7.6530993160e-63
0.610	1.4667716205e-55	8.4971805646e-63
0.620	1.7557270342e-55	9.4250266508e-63
0.630	2.0920469847e-55	1.0443745490e-62
0.640	2.4819235564e-55	1.1561025157e-62
0.650	2.9321480682e-55	1.2785122051e-62
0.660	3.4501474570e-55	1.4124855074e-62
0.670	4.0440213492e-55	1.5589600313e-62
0.680	4.7225797806e-55	1.7189287144e-62
0.690	5.4953815293e-55	1.8934393651e-62
0.700	6.3727730272e-55	2.0835947200e-62
0.710	7.3659278210e-55	2.2903603742e-62
0.720	8.4868865545e-55	2.5137091535e-62
0.730	9.7485974492e-55	2.7561001138e-62
0.740	1.1164957262e-54	3.0188336216e-62
0.750	1.2750852700e-54	3.3032650369e-62
0.760	1.4522202286e-54	3.6108051118e-62
0.770	1.6495998647e-54	3.9424603985e-62
0.780	1.8690351230e-54	4.2996780460e-62
0.790	2.1124529442e-54	4.6843183560e-62
0.800	2.3819006183e-54	5.0979837142e-62
0.810	2.6795501811e-54	5.5423367223e-62
0.820	3.0077028499e-54	6.0191027206e-62
0.830	3.3687935017e-54	6.5300733034e-62
0.840	3.7653951922e-54	7.0771120992e-62
0.850	4.2002237175e-54	7.6621588708e-62
0.860	4.6761422184e-54	8.2872381272e-62
0.870	5.1961658286e-54	8.9544637601e-62
0.880	5.7634663680e-54	9.6660530788e-62
0.890	6.3813770808e-54	1.0424333078e-61
0.900	7.0533974218e-54	1.1231754177e-61
0.910	7.7831978902e-54	1.2090907671e-61
