cal_S_function with E_thr = 5.0 MeV
T[MeV]	cal_S	cal_S_error
0.0	0.0	0.0
0.100	2.7407356563e-36	1.9495296179e-43
0.110	3.6227917073e-34	1.5517979528e-41
0.120	2.2390987762e-32	7.2552044184e-40
0.130	7.6524692830e-31	2.1958271639e-38
0.140	1.6329406203e-29	4.4710068794e-37
0.150	2.3808962940e-28	7.4488528094e-36
0.160	2.5399245809e-27	6.6172174816e-35
0.170	2.0901259618e-26	5.2990437922e-34
0.180	1.3830276327e-25	3.3858752420e-33
0.190	7.6061624596e-25	1.8093460480e-32
0.200	3.5708416381e-24	3.1517800289e-30
0.210	1.4625327925e-23	2.6685077279e-30
0.220	5.3206784834e-23	1.2294562803e-30
0.230	1.7451730056e-22	4.0555326348e-30
0.240	5.2258401148e-22	1.2282109126e-29
0.250	1.4438151588e-21	3.4469191822e-29
0.260	3.7137240253e-21	9.0234837882e-29
0.270	8.9617188952e-21	2.2191306073e-28
0.280	2.0423580307e-20	7.3796101085e-27
0.290	4.4209801509e-20	1.9158402098e-26
0.300	9.1351083229e-20	3.0448381597e-27
0.310	1.8096963730e-19	2.0812566689e-26
0.320	3.4502521659e-19	8.8635756133e-26
0.330	6.3519575995e-19	2.4159264898e-25
0.340	1.1325706208e-18	5.3622077214e-25
0.350	1.9609558423e-18	1.0520529173e-24
0.360	3.3047111051e-18	1.8962093279e-24
0.370	5.4321521363e-18	3.2076691595e-24
0.380	8.7256557716e-18	5.1615627429e-24
0.390	1.3719693077e-17	7.9732537278e-24
0.400	2.1148085039e-17	1.1902334801e-23
0.410	3.2001822092e-17	1.7256636277e-23
0.420	4.7598810811e-17	2.4391678220e-23
0.430	6.9666906932e-17	3.3703864631e-23
0.440	1.0044156299e-16	4.5678189349e-23
0.450	1.4277936157e-16	6.0859945338e-23
0.460	2.0028862282e-16	7.9884115093e-23
0.470	2.7747816916e-16	1.0348635346e-22
0.480	3.7992520388e-16	1.3253480693e-22
0.490	5.1446311648e-16	1.6807508054e-22
0.500	6.8938986959e-16	2.1123229868e-22
0.510	9.1469745333e-16	2.6333889242e-22
0.520	1.2023227177e-15	3.2616136365e-22
0.530	1.5664197141e-15	4.0114404525e-22
0.540	2.0236534977e-15	4.9043556843e-22
0.550	2.5935152581e-15	2.0354720925e-21
0.560	3.2986578623e-15	1.4592005025e-21
0.570	4.1652525074e-15	8.5609292418e-22
0.580	5.2233641697e-15	7.8759835899e-22
0.590	6.5073461677e-15	1.9899300097e-21
0.600	8.0562524211e-15	4.2398168027e-21
0.610	9.9142663998e-15	7.7514832743e-21
0.620	1.2131145226e-14	1.8370382053e-21
0.630	1.4762679781e-14	2.0803072793e-21
0.640	1.7871164405e-14	2.3411715775e-21
0.650	2.1525881413e-14	2.6182734697e-21
0.660	2.5803594239e-14	2.9186928114e-21
0.670	3.0789049643e-14	3.2462762949e-21
0.680	3.6575487265e-14	3.6049558386e-21
0.690	4.3265155108e-14	3.9942299984e-21
0.700	5.0969829546e-14	4.4152859726e-21
0.710	5.9811338492e-14	4.8724544334e-21
0.720	6.9922086375e-14	5.3677564814e-21
0.730	8.1445579659e-14	5.9033381745e-21
0.740	9.4536951644e-14	6.4814625855e-21
0.750	1.0936348537e-13	7.1045055310e-21
0.760	1.2610513352e-13	7.7749526141e-21
0.770	1.4495503424e-13	8.4953970639e-21
0.780	1.6612002190e-13	9.2685384934e-21
0.790	1.8982113192e-13	1.0097182157e-20
0.800	2.1629409871e-13	1.0984237689e-20
0.810	2.4578984607e-13	1.1932718819e-20
0.820	2.7857496934e-13	1.2945742473e-20
0.830	3.1493220847e-13	1.4026528237e-20
0.840	3.5516091183e-13	1.5178398155e-20
0.850	3.9957748984e-13	1.6404775230e-20
0.860	4.4851585831e-13	1.7709184146e-20
0.870	5.0232787102e-13	1.9095234105e-20
0.880	5.6138374118e-13	2.0562642733e-20
0.890	6.2607245161e-13	2.2114963479e-20
0.900	6.9680215345e-13	2.3759406701e-20
0.910	7.7400055314e-13	2.5499926671e-20
0.920	8.5811528785e-13	2.7340573453e-20
0.930	9.4961428897e-13	2.9285499657e-20
0.940	1.0489861339e-12	3.1338954096e-20
0.950	1.1567403864e-12	3.3505289163e-20
0.960	1.2734079247e-12	3.5787643268e-20
0.970	1.3995412585e-12	3.8189303697e-20
0.980	1.5357148348e-12	4.0716765136e-20
0.990	1.6825253321e-12	4.3374709665e-20
1.000	1.8405919436e-12	4.6167926124e-20
1.010	2.0105566499e-12	4.9101312842e-20
1.020	2.1930844808e-12	5.2179880368e-20
1.030	2.3888637672e-12	5.5408756879e-20
1.040	2.5986063823e-12	5.8793192902e-20
1.050	2.8230479742e-12	6.2338572659e-20
1.060	3.0629481872e-12	6.6050414222e-20
1.070	3.3190908762e-12	6.9934375718e-20
1.080	3.5922843100e-12	7.3996279436e-20
1.090	3.8833613681e-12	7.8242096963e-20
1.100	4.1931797272e-12	8.2677985573e-20
