T[MeV]	f_value	f_error
0.600	9.5725750290	9.0e-10
0.610	8.7581800465	1.6e-10
0.620	8.0444947597	1.8e-10
0.630	7.4163391071	1.9e-10
0.640	6.8611799636	2.0e-10
0.650	6.3686135539	2.6e-10
0.660	5.9299590872	1.9e-10
0.670	5.5379377238	1.8e-10
0.680	5.1864174428	1.7e-10
0.690	4.8702091255	4.6e-10
0.700	4.5849026824	4.0e-10
0.710	4.3267346715	3.5e-10
0.720	4.0924808191	3.0e-10
0.730	3.8793683370	2.6e-10
0.740	3.6850040608	2.2e-10
0.750	3.5073152901	1.8e-10
0.760	3.3445008805	1.5e-10
0.770	3.1949906408	1.3e-10
0.780	3.0574114951	1.0e-10
0.790	2.9305591726	8.6e-11
0.800	2.8133744366	7.0e-11
0.810	2.7049230526	5.7e-11
0.820	2.6043788519	4.5e-11
0.830	2.5110093623	3.6e-11
0.840	2.4241635804	2.9e-11
0.850	2.3432615330	2.4e-11
0.860	2.2677853387	2.1e-11
0.870	2.1972715345	1.9e-11
0.880	2.1313044665	1.8e-11
0.890	2.0695105855	1.7e-11
0.900	2.0115535072	1.7e-11
0.910	1.9571297269	1.7e-11
0.920	1.9059648904	1.7e-11
0.930	1.8578105429	1.7e-11
0.940	1.8124412863	1.7e-11
0.950	1.7696522906	1.7e-11
0.960	1.7292571076	1.7e-11
0.970	1.6910857488	1.7e-11
0.980	1.6549829899	1.7e-11
0.990	1.6208068739	1.7e-11
1.000	1.5884273861	1.7e-11
1.010	1.5577252792	1.7e-11
1.020	1.5285910296	1.7e-11
1.030	1.5009239086	1.6e-11
1.040	1.4746311548	1.6e-11
1.050	1.4496272345	1.6e-11
1.060	1.4258331811	1.5e-11
1.070	1.4031760019	1.5e-11
1.080	1.3815881477	1.5e-11
1.090	1.3610070345	1.4e-11
1.100	1.3413746141	1.4e-11
1.110	1.3226369866	1.3e-11
1.120	1.3047440514	1.3e-11
1.130	1.2876491905	1.2e-11
1.140	1.2713089832	1.2e-11
1.150	1.2556829472	1.1e-11
1.160	1.2407333031	1.1e-11
1.170	1.2264247611	1.1e-11
1.180	1.2127243271	1.0e-11
1.190	1.1996011256	9.7e-12
1.200	1.1870262385	9.3e-12
1.210	1.1749725579	8.9e-12
1.220	1.1634146522	8.5e-12
1.230	1.1523286422	8.1e-12
1.240	1.1416920893	7.7e-12
1.250	1.1314838919	7.4e-12
1.260	1.1216841907	7.0e-12
1.270	1.1122742817	6.7e-12
1.280	1.1032365365	6.4e-12
1.290	1.0945543280	6.1e-12
1.300	1.0862119632	5.8e-12
1.310	1.0781946207	5.5e-12
1.320	1.0704882925	5.2e-12
1.330	1.0630797311	4.9e-12
1.340	1.0559564000	4.7e-12
1.350	1.0491064284	4.4e-12
1.360	1.0425185688	4.2e-12
1.370	1.0361821577	3.9e-12
1.380	1.0300870798	3.7e-12
1.390	1.0242237338	3.5e-12
1.400	1.0185830015	3.3e-12
1.410	1.0131562186	3.1e-12
1.420	1.0079351474	3.0e-12
1.430	1.0029119519	2.8e-12
1.440	0.9980791744	2.6e-12
1.450	0.9934297133	2.5e-12
1.460	0.9889568029	2.3e-12
1.470	0.9846539943	2.2e-12
1.480	0.9805151374	2.0e-12
1.490	0.9765343648	1.9e-12
1.500	0.9727060756	1.8e-12
1.510	0.9690249210	1.7e-12
1.520	0.9654857911	1.6e-12
1.530	0.9620838014	1.5e-12
1.540	0.9588142814	1.4e-12
1.550	0.9556727629	1.3e-12
1.560	0.9526549698	1.2e-12
1.570	0.9497568078	1.1e-12
1.580	0.9469743556	1.1e-12
1.590	0.9443038555	9.9e-13
1.600	0.9417417056	9.3e-13
1.610	0.9392844519	8.7e-13
1.620	0.9369287808	8.1e-13
1.630	0.9346715126	7.5e-13
1.640	0.9325095945	7.0e-13
1.650	0.9304400950	6.5e-13
1.660	0.9284601976	6.1e-13
1.670	0.9265671957	5.7e-13
1.680	0.9247584873	5.3e-13
1.690	0.9230315701	4.9e-13
1.700	0.9213840369	4.6e-13
1.710	0.9198135713	4.3e-13
1.720	0.9183179433	4.0e-13
1.730	0.9168950059	3.7e-13
1.740	0.9155426909	3.5e-13
1.750	0.9142590056	3.2e-13
1.760	0.9130420294	3.0e-13
1.770	0.9118899108	2.9e-13
1.780	0.9108008643	2.7e-13
1.790	0.9097731673	2.5e-13
1.800	0.9088051580	2.4e-13
1.810	0.9078952323	2.3e-13
1.820	0.9070418413	2.3e-13
1.830	0.9062434897	2.2e-13
1.840	0.9054987326	2.2e-13
1.850	0.9048061744	2.2e-13
1.860	0.9041644660	2.2e-13
1.870	0.9035723032	2.3e-13
1.880	0.9030284252	2.3e-13
1.890	0.9025316121	2.4e-13
1.900	0.9020806842	2.4e-13
1.910	0.9016744996	2.5e-13
1.920	0.9013119533	2.5e-13
1.930	0.9009919755	2.6e-13
1.940	0.9007135302	2.7e-13
1.950	0.9004756139	2.7e-13
1.960	0.9002772547	2.8e-13
1.970	0.9001175105	2.8e-13
1.980	0.8999954685	2.9e-13
1.990	0.8999102438	3.0e-13
2.000	0.8998609781	3.0e-13
2.010	0.8998468393	3.1e-13
2.020	0.8998670202	3.1e-13
2.030	0.8999207375	3.2e-13
2.040	0.9000072312	3.2e-13
2.050	0.9001257635	3.3e-13
2.060	0.9002756184	3.3e-13
2.070	0.9004561004	3.4e-13
2.080	0.9006665342	3.4e-13
2.090	0.9009062638	3.5e-13
2.100	0.9011746518	3.5e-13
2.110	0.9014710790	3.6e-13
2.120	0.9017949433	3.6e-13
2.130	0.9021456598	3.6e-13
2.140	0.9025226595	3.7e-13
2.150	0.9029253892	3.7e-13
2.160	0.9033533110	3.7e-13
