T[MeV]	f_value	f_error
1.000	6.9957011437	2.5e-11
1.010	6.6957927511	1.2e-11
1.020	6.4161945980	3.1e-11
1.030	6.1551791530	5.8e-11
1.040	5.9111926958	8.7e-11
1.050	5.6828353550	1.2e-10
1.060	5.4688437030	1.5e-10
1.070	5.2680755488	1.7e-10
1.080	5.0794966244	2.0e-10
1.090	4.9021689050	2.2e-10
1.100	4.7352403428	2.4e-10
1.110	4.5779358263	2.5e-10
1.120	4.4295492048	2.7e-10
1.130	4.2894362384	2.8e-10
1.140	4.1570083563	2.9e-10
1.150	4.0317271216	2.9e-10
1.160	3.9130993133	3.0e-10
1.170	3.8006725502	3.0e-10
1.180	3.6940313908	3.0e-10
1.190	3.5927938524	3.0e-10
1.200	3.4966082985	2.9e-10
1.210	3.4051506526	2.9e-10
1.220	3.3181219003	2.8e-10
1.230	3.2352458456	2.8e-10
1.240	3.1562670951	2.7e-10
1.250	3.0809492414	1.9e-10
1.260	3.0090732272	1.1e-10
1.270	2.9404358671	2.9e-10
1.280	2.8748485129	2.5e-10
1.290	2.8121358448	2.4e-10
1.300	2.7521347768	2.6e-10
1.310	2.6946934637	8.1e-11
1.320	2.6396703992	1.2e-10
1.330	2.5869335961	1.6e-10
1.340	2.5363598401	1.9e-10
1.350	2.4878340099	1.8e-10
1.360	2.4412484570	1.7e-10
1.370	2.3965024395	1.6e-10
1.380	2.3535016043	1.6e-10
1.390	2.3121575141	1.5e-10
1.400	2.2723872134	1.4e-10
1.410	2.2341128308	1.3e-10
1.420	2.1972612147	1.2e-10
1.430	2.1617635981	1.2e-10
1.440	2.1275552907	1.1e-10
1.450	2.0945753953	1.0e-10
1.460	2.0627665474	9.8e-11
1.470	2.0320746744	9.3e-11
1.480	2.0024487738	8.7e-11
1.490	1.9738407087	8.1e-11
1.500	1.9462050182	7.6e-11
1.510	1.9194987429	7.1e-11
1.520	1.8936812628	6.7e-11
1.530	1.8687141471	6.2e-11
1.540	1.8445610158	5.8e-11
1.550	1.8211874104	5.4e-11
1.560	1.7985606746	5.0e-11
1.570	1.7766498428	4.7e-11
1.580	1.7554255372	4.3e-11
1.590	1.7348598715	4.0e-11
