T[MeV]	f_value	f_error
0.600	210717469.6253371239	2.3e-03
0.610	124776446.7059813440	1.2e-03
0.620	75364466.3368204683	6.5e-04
0.630	46384077.9003721550	4.3e-03
0.640	29062523.3983878791	2.4e-03
0.650	18521620.7170681320	1.4e-03
0.660	11996334.6901151184	7.9e-04
0.670	7890535.0734282341	4.6e-04
0.680	5266682.5276882192	2.7e-04
0.690	3564871.0683461260	1.6e-04
0.700	2445384.0104951696	1.0e-04
0.710	1698961.5541100884	6.3e-05
0.720	1194826.8716885427	3.9e-05
0.730	850113.7693653787	2.5e-05
0.740	611615.5126479701	1.6e-05
0.750	444733.8723661097	1.1e-05
0.760	326696.4875883177	7.0e-06
0.770	242339.4700178989	4.7e-06
0.780	181452.1425195819	3.1e-06
0.790	137085.1576454044	2.1e-06
0.800	104459.9962697495	1.5e-06
0.810	80258.2766267343	1.0e-06
0.820	62153.6438293598	7.1e-07
0.830	48500.2734791072	5.0e-07
0.840	38123.5435074154	3.6e-07
0.850	30178.0259709186	2.6e-07
0.860	24050.2662255261	1.9e-07
0.870	19291.6367179000	1.4e-07
0.880	15571.5674448255	9.9e-08
0.890	12644.7021304984	7.3e-08
0.900	10327.6511185590	5.5e-08
0.910	8482.4111556077	4.1e-08
0.920	7004.4528532520	3.1e-08
0.930	5814.1007698043	5.2e-07
0.940	4850.2530653670	4.0e-07
0.950	4065.7752610315	3.1e-07
0.960	3424.1000879701	2.4e-07
0.970	2896.7019846196	1.8e-07
0.980	2461.2099346355	1.4e-07
0.990	2099.9890646003	1.1e-07
1.000	1799.0685342837	1.7e-07
1.010	1547.3267336226	1.3e-07
1.020	1335.8687435362	1.3e-07
1.030	1157.5482438943	1.1e-07
1.040	1006.5985189686	8.5e-08
1.050	878.3462851341	6.8e-08
1.060	768.9887074641	5.5e-08
1.070	675.4188595882	4.5e-08
1.080	595.0884969425	3.6e-08
1.090	525.8997020258	3.0e-08
1.100	466.1189692230	2.4e-08
1.110	414.3088051705	2.0e-08
1.120	369.2730585647	1.7e-08
1.130	330.0130556619	1.4e-08
1.140	295.6922741490	2.8e-08
1.150	265.6077898992	2.3e-08
1.160	239.1671164077	1.9e-08
1.170	215.8693537049	1.6e-08
1.180	195.2897934186	1.4e-08
1.190	177.0673052649	1.2e-08
1.200	160.8939695572	9.8e-09
1.210	146.5065293736	8.3e-09
1.220	133.6793217090	7.1e-09
1.230	122.2184144897	6.0e-09
1.240	111.9567297781	5.2e-09
1.250	102.7499759219	5.6e-09
1.260	94.4732451910	3.8e-09
1.270	87.0181604444	3.3e-09
1.280	80.2904760067	2.8e-09
1.290	74.2080553272	2.5e-09
1.300	68.6991620217	2.1e-09
1.310	63.7010122400	1.9e-09
1.320	59.1585454981	1.6e-09
1.330	55.0233785960	1.4e-09
1.340	51.2529133417	1.2e-09
1.350	47.8095737879	1.1e-09
1.360	44.6601527785	9.6e-10
1.370	41.7752509595	8.4e-10
1.380	39.1287941784	7.4e-10
1.390	36.6976174824	6.6e-10
1.400	34.4611058176	5.8e-10
1.410	32.4008831031	5.2e-10
1.420	30.5005426589	4.6e-10
1.430	28.7454130563	4.1e-10
1.440	27.1223543684	5.5e-10
1.450	25.6195805608	1.7e-09
1.460	24.2265043993	2.9e-10
1.470	22.9336017924	2.2e-09
1.480	21.7322929334	2.0e-09
1.490	20.6148379948	1.8e-09
1.500	19.5742454461	1.9e-09
1.510	18.6041913405	1.7e-09
1.520	17.6989481520	1.5e-09
1.530	16.8533219355	1.4e-09
1.540	16.0625967578	1.2e-09
1.550	15.3224854854	1.1e-09
1.560	14.6290861408	1.0e-09
1.570	13.9788431443	9.2e-10
1.580	13.3685128460	8.4e-10
1.590	12.7951328340	7.6e-10
1.600	12.2559945684	1.2e-09
1.610	11.7486189485	1.1e-09
1.620	11.2707344735	1.0e-09
1.630	10.8202576955	9.1e-10
1.640	10.3952757031	8.4e-10
1.650	9.9940304067	7.7e-10
1.660	9.6149044234	7.0e-10
1.670	9.2564083833	6.4e-10
1.680	8.9171695028	5.9e-10
1.690	8.5959212850	5.5e-10
1.700	8.2914942281	5.0e-10
1.710	8.0028074321	4.6e-10
1.720	7.7288610104	4.3e-10
1.730	7.4687292217	3.9e-10
1.740	7.2215542471	3.6e-10
1.750	6.9865405466	3.4e-10
1.760	6.7629497358	3.1e-10
1.770	6.5500959302	2.9e-10
1.780	6.3473415115	6.1e-10
1.790	6.1540932720	5.7e-10
1.800	5.9697989024	5.3e-10
1.810	5.7939437877	4.9e-10
1.820	5.6260480829	4.6e-10
1.830	5.4656640406	4.3e-10
1.840	5.3123735677	4.0e-10
1.850	5.1657859892	3.7e-10
1.860	5.0255359997	3.5e-10
1.870	4.8912817854	3.2e-10
1.880	4.7627033018	3.0e-10
1.890	4.6395006913	2.8e-10
1.900	4.5213928299	2.7e-10
1.910	4.4081159904	4.3e-10
1.920	4.2994226120	4.0e-10
1.930	4.1950801677	3.8e-10
1.940	4.0948701195	3.6e-10
1.950	3.9985869557	3.3e-10
1.960	3.9060373016	3.1e-10
1.970	3.8170390987	3.0e-10
1.980	3.7314208454	2.8e-10
1.990	3.6490208954	2.6e-10
2.000	3.5696868076	2.5e-10
2.010	3.4932747453	2.3e-10
2.020	3.4196489174	2.2e-10
2.030	3.3486810626	2.1e-10
2.040	3.2802499686	2.0e-10
2.050	3.2142410272	1.9e-10
2.060	3.1505458201	1.1e-10
2.070	3.0890617345	2.8e-10
2.080	3.0296916048	2.4e-10
2.090	2.9723433798	2.9e-10
2.100	2.9169298123	2.7e-10
2.110	2.8633681703	2.6e-10
2.120	2.8115799671	2.4e-10
2.130	2.7614907104	2.3e-10
2.140	2.7130296673	2.2e-10
2.150	2.6661296455	2.0e-10
2.160	2.6207267881	1.9e-10
2.170	2.5767603826	1.8e-10
2.180	2.5341726819	1.7e-10
2.190	2.4929087366	1.6e-10
2.200	2.4529162379	1.6e-10
2.210	2.4141453713	1.5e-10
2.220	2.3765486784	1.4e-10
2.230	2.3400809279	1.3e-10
2.240	2.3046989943	1.3e-10
2.250	2.2703617448	1.2e-10
2.260	2.2370299316	1.1e-10
2.270	2.2046660925	1.1e-10
2.280	2.1732344560	1.0e-10
2.290	2.1427008530	9.9e-11
2.300	2.1130326333	9.4e-11
2.310	2.0841985872	9.0e-11
2.320	2.0561688714	8.6e-11
2.330	2.0289149398	8.2e-11
2.340	2.0024094775	7.8e-11
2.350	1.9766263391	7.4e-11
2.360	1.9515404906	7.1e-11
2.370	1.9271279543	6.8e-11
2.380	1.9033657565	6.5e-11
2.390	1.8802318790	6.2e-11
2.400	1.8577052126	5.9e-11
2.410	1.8357655130	5.7e-11
2.420	1.8143933599	5.4e-11
2.430	1.7935701178	5.2e-11
2.440	1.7732778985	5.0e-11
2.450	1.7534995267	4.8e-11
2.460	1.7342185064	4.6e-11
2.470	1.7154189897	4.4e-11
2.480	1.6970857468	4.2e-11
2.490	1.6792041382	4.0e-11
2.500	1.6617600874	3.9e-11
2.510	1.6447400561	3.7e-11
2.520	1.6281310195	3.6e-11
2.530	1.6119204443	3.4e-11
2.540	1.5960962660	3.3e-11
2.550	1.5806468692	3.2e-11
2.560	1.5655610674	3.1e-11
2.570	1.5508280849	2.9e-11
2.580	1.5364375388	2.8e-11
2.590	1.5223794220	2.7e-11
2.600	1.5086440880	2.6e-11
2.610	1.4952222346	2.5e-11
2.620	1.4821048905	2.4e-11
2.630	1.4692834006	2.4e-11
2.640	1.4567494135	2.3e-11
2.650	1.4444948685	2.2e-11
2.660	1.4325119844	2.1e-11
2.670	1.4207932470	2.0e-11
2.680	1.4093313996	2.0e-11
2.690	1.3981194316	1.9e-11
2.700	1.3871505690	1.8e-11
2.710	1.3764182653	1.8e-11
2.720	1.3659161920	1.7e-11
2.730	1.3556382304	1.7e-11
2.740	1.3455784633	1.6e-11
2.750	1.3357311671	1.5e-11
2.760	1.3260908043	1.5e-11
2.770	1.3166520167	1.4e-11
2.780	1.3074096180	1.4e-11
2.790	1.2983585876	1.4e-11
2.800	1.2894940646	1.3e-11
2.810	1.2808113412	1.3e-11
2.820	1.2723058576	1.2e-11
2.830	1.2639731960	1.2e-11
2.840	1.2558090757	1.2e-11
2.850	1.2478093479	1.1e-11
2.860	1.2399699911	1.1e-11
2.870	1.2322871062	1.0e-11
2.880	1.2247569122	1.0e-11
2.890	1.2173757421	9.9e-12
2.900	1.2101400387	9.6e-12
2.910	1.2030463506	9.3e-12
2.920	1.1960913287	1.2e-10
2.930	1.1892717226	1.2e-10
2.940	1.1825843768	1.1e-10
2.950	1.1760262278	1.1e-10
2.960	1.1695943009	1.1e-10
2.970	1.1632857067	1.0e-10
2.980	1.1570976389	1.0e-10
