T[MeV]	f_value	f_error
1.000	1095.7178735339	7.2e-09
1.010	956.1582469220	5.8e-09
1.020	837.2214275311	4.8e-09
1.030	735.4990336132	3.9e-09
1.040	648.1995804680	3.2e-09
1.050	573.0279246432	2.6e-09
1.060	508.0898850031	4.9e-08
1.070	451.8164657905	4.0e-08
1.080	402.9034075231	3.4e-08
1.090	360.2627741177	2.8e-08
1.100	322.9840302815	2.3e-08
1.110	290.3026316019	2.0e-08
1.120	261.5745849327	1.7e-08
1.130	236.2557712574	1.4e-08
1.140	213.8850815206	1.2e-08
1.150	194.0706161494	1.0e-08
1.160	176.4783548009	1.7e-08
1.170	160.8228245923	1.4e-08
1.180	146.8593905044	1.2e-08
1.190	134.3778667486	9.8e-09
1.200	123.1972071969	1.1e-08
1.210	113.1610799701	9.8e-09
1.220	104.1341686467	8.5e-09
1.230	95.9990723631	7.4e-09
1.240	88.6537009332	6.4e-09
1.250	82.0090802626	5.6e-09
1.260	75.9874987562	4.9e-09
1.270	70.5209378700	4.3e-09
1.280	65.5497400486	3.8e-09
1.290	61.0214754811	3.3e-09
1.300	56.8899757871	4.1e-09
1.310	53.1145081929	3.2e-09
1.320	49.6590682256	2.3e-09
1.330	46.4917726182	2.0e-09
1.340	43.5843371361	4.3e-09
1.350	40.9116265284	3.8e-09
1.360	38.4512658633	3.4e-09
1.370	36.1833042206	3.1e-09
1.380	34.0899231297	2.7e-09
1.390	32.1551833279	2.4e-09
1.400	30.3648043981	2.2e-09
1.410	28.7059726754	2.0e-09
1.420	27.1671734998	1.8e-09
1.430	25.7380444803	1.6e-09
1.440	24.4092469215	1.4e-09
1.450	23.1723529790	1.3e-09
1.460	22.0197464607	1.2e-09
1.470	20.9445354856	1.1e-09
1.480	19.9404754629	9.7e-10
1.490	19.0019010714	8.8e-10
1.500	18.1236660951	8.0e-10
1.510	17.3010901331	7.3e-10
1.520	16.5299113287	6.6e-10
1.530	15.8062443807	6.1e-10
1.540	15.1265431948	5.5e-10
1.550	14.4875676172	5.1e-10
1.560	13.8863537665	4.6e-10
1.570	13.3201875390	4.3e-10
1.580	12.7865809184	3.9e-10
1.590	12.2832507675	3.6e-10
1.600	11.8080998169	3.3e-10
1.610	11.3591996045	3.0e-10
1.620	10.9347751464	2.8e-10
1.630	10.5331911478	2.6e-10
1.640	10.1529395855	2.4e-10
1.650	9.7926285128	2.2e-10
1.660	9.4509719548	2.0e-10
1.670	9.1267807800	1.9e-10
1.680	8.8189544422	6.6e-10
1.690	8.5264735055	4.0e-10
1.700	8.2483928674	2.2e-10
1.710	7.9838356126	1.4e-10
1.720	7.7319874297	2.2e-10
