T[MeV]	f_value	f_error
0.600	554.5151921293	4.0e-10
0.610	451.5842207878	1.3e-08
0.620	370.9067215408	2.6e-10
0.630	307.1078537667	2.0e-10
0.640	256.2303817676	1.6e-10
0.650	215.3324483504	1.2e-10
0.660	182.2068187919	9.1e-11
0.670	155.1828645024	1.1e-10
0.680	132.9855121241	5.3e-11
0.690	114.6338158960	4.1e-11
0.700	99.3673611629	3.2e-11
0.710	86.5923996709	2.5e-11
0.720	75.8420998370	2.0e-11
0.730	66.7469807364	1.6e-11
0.740	59.0127538814	1.4e-11
0.750	52.4035960060	1.3e-11
0.760	46.7294336709	1.2e-11
0.770	41.8362128462	1.2e-11
0.780	37.5984049232	1.2e-11
0.790	33.9131995336	1.3e-11
0.800	30.6959778157	1.4e-11
0.810	27.8767636761	1.5e-11
0.820	25.3974264888	1.7e-11
0.830	23.2094644678	1.9e-11
0.840	21.2722392375	2.1e-11
0.850	19.5515628631	2.3e-11
0.860	18.0185616268	5.4e-11
0.870	16.6487581764	2.9e-11
0.880	15.4213268136	3.2e-11
0.890	14.3184866912	3.5e-11
0.900	13.3250053507	3.8e-11
0.910	12.4277909226	4.2e-11
0.920	11.6155558696	4.5e-11
0.930	10.8785386921	4.9e-11
0.940	10.2082727767	5.3e-11
0.950	9.5973937337	5.7e-11
0.960	9.0394782742	6.1e-11
0.970	8.5289090228	6.5e-11
0.980	8.0607607337	6.9e-11
0.990	7.6307042258	5.6e-10
1.000	7.2349250381	1.9e-10
1.010	6.8700543491	1.1e-10
1.020	6.5331101482	3.0e-10
1.030	6.2214470007	5.4e-10
1.040	5.9327130376	9.3e-11
1.050	5.6648130367	9.7e-11
1.060	5.4158766532	1.0e-10
1.070	5.1842310158	1.0e-10
1.080	4.9683770312	1.1e-10
1.090	4.7669688500	1.1e-10
1.100	4.5787960308	1.1e-10
1.110	4.4027680155	1.2e-10
1.120	4.2379005867	1.2e-10
1.130	4.0833040311	1.2e-10
1.140	3.9381727716	1.2e-10
1.150	3.8017762694	1.3e-10
1.160	3.6734510248	1.3e-10
1.170	3.5525935306	1.3e-10
1.180	3.4386540544	1.3e-10
1.190	3.3311311415	1.3e-10
1.200	3.2295667468	1.3e-10
1.210	3.1335419176	1.3e-10
1.220	3.0426729565	1.4e-10
1.230	2.9566080074	1.4e-10
1.240	2.8750240127	1.4e-10
1.250	2.7976239967	1.4e-10
1.260	2.7241346368	1.3e-10
1.270	2.6543040895	2.1e-10
1.280	2.5879000405	1.4e-10
1.290	2.5247079549	1.5e-10
1.300	2.4645295027	2.1e-10
1.310	2.4071811429	1.3e-10
1.320	2.3524928458	1.3e-10
1.330	2.3003069402	1.3e-10
1.340	2.2504770722	1.2e-10
1.350	2.2028672619	1.2e-10
1.360	2.1573510499	1.2e-10
1.370	2.1138107226	1.2e-10
1.380	2.0721366092	1.2e-10
1.390	2.0322264419	1.1e-10
1.400	1.9939847747	1.1e-10
1.410	1.9573224529	1.1e-10
1.420	1.9221561301	1.0e-10
1.430	1.8884078266	1.0e-10
1.440	1.8560045266	9.9e-11
1.450	1.8248778087	9.6e-11
1.460	1.7949635086	9.3e-11
1.470	1.7662014092	8.9e-11
1.480	1.7385349569	8.6e-11
1.490	1.7119110004	8.3e-11
1.500	1.6862795514	8.0e-11
1.510	1.6615935640	7.7e-11
1.520	1.6378087314	7.4e-11
1.530	1.6148832994	1.6e-10
1.540	1.5927778932	1.5e-10
1.550	1.5714553590	1.3e-10
1.560	1.5508806160	1.2e-10
1.570	1.5310205212	1.1e-10
1.580	1.5118437432	1.1e-10
1.590	1.4933206454	9.8e-11
1.600	1.4754231790	9.0e-11
1.610	1.4581247819	8.3e-11
1.620	1.4414002864	7.6e-11
1.630	1.4252258326	7.0e-11
1.640	1.4095787888	6.4e-11
1.650	1.3944376761	5.9e-11
1.660	1.3797820999	5.3e-11
1.670	1.3655926846	4.9e-11
1.680	1.3518510141	4.4e-11
1.690	1.3385395749	4.0e-11
1.700	1.3256417046	3.6e-11
1.710	1.3131415421	3.2e-11
1.720	1.3010239829	2.9e-11
1.730	1.2892746355	2.6e-11
1.740	1.2778797822	2.3e-11
1.750	1.2668263415	2.0e-11
1.760	1.2561018329	1.8e-11
1.770	1.2456943444	1.6e-11
1.780	1.2355925018	1.4e-11
1.790	1.2257854397	1.2e-11
1.800	1.2162627746	1.0e-11
1.810	1.2070145794	8.4e-12
1.820	1.1980313597	7.1e-12
1.830	1.1893040313	5.9e-12
1.840	1.1808238990	5.1e-12
1.850	1.1725826372	4.4e-12
1.860	1.1645722706	3.8e-12
1.870	1.1567851572	3.3e-12
1.880	1.1492139712	2.9e-12
1.890	1.1418516879	2.6e-12
1.900	1.1346915686	2.4e-12
1.910	1.1277271470	2.3e-12
1.920	1.1209522156	2.3e-12
1.930	1.1143608139	2.4e-12
1.940	1.1079472163	2.8e-12
1.950	1.1017059212	3.3e-12
1.960	1.0956316404	3.9e-12
1.970	1.0897192894	4.5e-12
1.980	1.0839639778	5.1e-12
1.990	1.0783610007	5.8e-12
2.000	1.0729058298	1.0e-10
2.010	1.0675941062	9.3e-11
2.020	1.0624216322	8.6e-11
2.030	1.0573843644	7.9e-11
2.040	1.0524784069	7.2e-11
2.050	1.0477000047	6.6e-11
2.060	1.0430455380	6.0e-11
2.070	1.0385115159	5.5e-11
2.080	1.0340945711	5.0e-11
2.090	1.0297914546	4.6e-11
2.100	1.0255990308	4.2e-11
2.110	1.0215142727	3.8e-11
2.120	1.0175342575	9.5e-11
2.130	1.0136561618	8.6e-11
2.140	1.0098772582	7.9e-11
2.150	1.0061949112	7.2e-11
2.160	1.0026065730	6.5e-11
2.170	0.9991097805	5.9e-11
2.180	0.9957021520	5.4e-11
2.190	0.9923813835	4.9e-11
2.200	0.9891452457	4.5e-11
2.210	0.9859915818	4.2e-11
2.220	0.9829183035	3.9e-11
2.230	0.9799233895	3.8e-11
2.240	0.9770048822	3.7e-11
2.250	0.9741608855	3.6e-11
2.260	0.9713895625	3.6e-11
2.270	0.9686891332	3.6e-11
2.280	0.9660578725	3.6e-11
2.290	0.9634941079	3.7e-11
2.300	0.9609962180	3.7e-11
2.310	0.9585626302	3.8e-11
2.320	0.9561918189	3.9e-11
2.330	0.9538823044	4.0e-11
2.340	0.9516326505	4.1e-11
2.350	0.9494414633	4.2e-11
2.360	0.9473073899	4.3e-11
2.370	0.9452291163	4.4e-11
2.380	0.9432053670	4.6e-11
2.390	0.9412349025	4.8e-11
2.400	0.9393165192	5.0e-11
2.410	0.9374490473	5.2e-11
2.420	0.9356313500	5.5e-11
2.430	0.9338623224	5.7e-11
2.440	0.9321408904	5.9e-11
2.450	0.9304660095	6.1e-11
2.460	0.9288366640	6.3e-11
2.470	0.9272518660	6.5e-11
2.480	0.9257106543	6.7e-11
2.490	0.9242120937	6.9e-11
2.500	0.9227552744	7.0e-11
2.510	0.9213393105	7.2e-11
2.520	0.9199633399	7.4e-11
2.530	0.9186265232	7.5e-11
2.540	0.9173280428	7.7e-11
2.550	0.9160671027	7.9e-11
2.560	0.9148429275	8.0e-11
2.570	0.9136547617	8.1e-11
2.580	0.9125018693	8.3e-11
2.590	0.9113835330	8.4e-11
2.600	0.9102990538	8.5e-11
2.610	0.9092477501	8.6e-11
2.620	0.9082289577	8.7e-11
2.630	0.9072420288	8.9e-11
2.640	0.9062863316	8.9e-11
2.650	0.9053612501	9.0e-11
2.660	0.9044661833	3.5e-11
2.670	0.9036005448	3.6e-11
2.680	0.9027637627	3.6e-11
2.690	0.9019552786	3.6e-11
2.700	0.9011745476	3.7e-11
2.710	0.9004210381	3.7e-11
2.720	0.8996942308	3.7e-11
2.730	0.8989936188	3.7e-11
2.740	0.8983187071	3.8e-11
2.750	0.8976690124	3.8e-11
2.760	0.8970440625	3.8e-11
2.770	0.8964433963	3.8e-11
2.780	0.8958665632	3.8e-11
2.790	0.8953131229	3.9e-11
2.800	0.8947826454	3.9e-11
2.810	0.8942747101	3.9e-11
2.820	0.8937889062	3.9e-11
2.830	0.8933248320	3.9e-11
2.840	0.8928820948	3.9e-11
2.850	0.8924603107	3.9e-11
2.860	0.8920591042	3.9e-11
2.870	0.8916781081	4.0e-11
2.880	0.8913169634	4.0e-11
2.890	0.8909753188	4.0e-11
2.900	0.8906528305	4.0e-11
2.910	0.8903491625	4.0e-11
2.920	0.8900639856	4.0e-11
2.930	0.8897969781	4.0e-11
2.940	0.8895478248	4.0e-11
2.950	0.8893162173	4.0e-11
2.960	0.8891018538	4.0e-11
2.970	0.8889044388	4.0e-11
2.980	0.8887236828	4.0e-11
2.990	0.8885593027	4.0e-11
3.000	0.8884110209	4.0e-11
3.010	0.8882785657	4.0e-11
3.020	0.8881616710	4.0e-11
3.030	0.8880600762	4.0e-11
3.040	0.8879735257	3.9e-11
3.050	0.8879017695	3.9e-11
3.060	0.8878445624	3.9e-11
3.070	0.8878016642	3.9e-11
3.080	0.8877728393	3.9e-11
3.090	0.8877578572	3.9e-11
3.100	0.8877564916	3.9e-11
3.110	0.8877685209	3.9e-11
3.120	0.8877937276	3.9e-11
3.130	0.8878318989	3.9e-11
3.140	0.8878828256	3.9e-11
3.150	0.8879463030	3.9e-11
3.160	0.8880221301	3.8e-11
3.170	0.8881101099	3.8e-11
3.180	0.8882100491	3.8e-11
3.190	0.8883217581	3.8e-11
3.200	0.8884450511	8.8e-11
3.210	0.8885797454	8.8e-11
3.220	0.8887256622	8.7e-11
3.230	0.8888826257	8.7e-11
3.240	0.8890504636	8.6e-11
3.250	0.8892290067	8.6e-11
3.260	0.8894180890	8.5e-11
3.270	0.8896175475	8.5e-11
3.280	0.8898272223	8.4e-11
3.290	0.8900469564	8.4e-11
3.300	0.8902765956	8.3e-11
3.310	0.8905159885	8.3e-11
3.320	0.8907649865	8.2e-11
3.330	0.8910234437	8.2e-11
3.340	0.8912912168	8.1e-11
3.350	0.8915681650	8.0e-11
3.360	0.8918541500	8.0e-11
3.370	0.8921490362	7.9e-11
3.380	0.8924526901	7.9e-11
3.390	0.8927649807	7.8e-11
3.400	0.8930857792	7.8e-11
3.410	0.8934149592	7.7e-11
3.420	0.8937523965	7.7e-11
3.430	0.8940979688	7.6e-11
3.440	0.8944515562	7.6e-11
3.450	0.8948130408	7.5e-11
3.460	0.8951823066	7.4e-11
3.470	0.8955592398	7.4e-11
3.480	0.8959437283	7.3e-11
3.490	0.8963356620	7.3e-11
3.500	0.8967349328	7.2e-11
3.510	0.8971414343	7.2e-11
3.520	0.8975550618	7.1e-11
3.530	0.8979757124	7.1e-11
3.540	0.8984032851	7.0e-11
3.550	0.8988376804	7.0e-11
3.560	0.8992788005	6.9e-11
