T[MeV]	f_value	f_error
1.000	0.9787778529	7.8e-11
1.010	0.9717564287	7.3e-11
1.020	0.9650922338	6.9e-11
1.030	0.9587664201	6.5e-11
1.040	0.9527613789	6.2e-11
1.050	0.9470606440	5.9e-11
1.060	0.9416488029	5.6e-11
1.070	0.9365114159	5.3e-11
1.080	0.9316349429	5.0e-11
1.090	0.9270066760	4.8e-11
1.100	0.9226146783	4.5e-11
1.110	0.9184477279	4.3e-11
1.120	0.9144952665	4.1e-11
1.130	0.9107473522	3.9e-11
1.140	0.9071946167	3.7e-11
1.150	0.9038282250	3.6e-11
1.160	0.9006398394	3.4e-11
1.170	0.8976215857	3.3e-11
1.180	0.8947660223	3.1e-11
1.190	0.8920661116	3.0e-11
1.200	0.8895151936	2.9e-11
1.210	0.8871069619	2.8e-11
1.220	0.8848354403	2.6e-11
1.230	0.8826949631	2.5e-11
1.240	0.8806801546	2.4e-11
1.250	0.8787859122	2.3e-11
1.260	0.8770073890	2.3e-11
1.270	0.8753399789	2.2e-11
1.280	0.8737793016	2.1e-11
1.290	0.8723211900	2.0e-11
1.300	0.8709616771	1.9e-11
1.310	0.8696969848	1.9e-11
1.320	0.8685235129	1.8e-11
1.330	0.8674378291	1.7e-11
1.340	0.8664366594	1.7e-11
1.350	0.8655168795	1.6e-11
1.360	0.8646755066	1.6e-11
1.370	0.8639096915	1.5e-11
1.380	0.8632167114	1.5e-11
1.390	0.8625939633	1.4e-11
1.400	0.8620389575	1.4e-11
1.410	0.8615493117	1.3e-11
1.420	0.8611227456	1.3e-11
1.430	0.8607570754	1.3e-11
1.440	0.8604502089	1.2e-11
1.450	0.8602001410	1.2e-11
1.460	0.8600049493	1.2e-11
1.470	0.8598627899	1.1e-11
1.480	0.8597718935	1.1e-11
1.490	0.8597305622	1.1e-11
1.500	0.8597371653	1.0e-11
1.510	0.8597901367	1.0e-11
1.520	0.8598879717	9.8e-12
1.530	0.8600292238	9.5e-12
1.540	0.8602125022	9.3e-12
1.550	0.8604364695	9.0e-12
1.560	0.8606998385	8.8e-12
1.570	0.8610013708	8.6e-12
1.580	0.8613398739	8.4e-12
1.590	0.8617141995	8.2e-12
1.600	0.8621232412	8.0e-12
1.610	0.8625659332	7.8e-12
1.620	0.8630412481	7.6e-12
1.630	0.8635481951	7.4e-12
1.640	0.8640858189	7.3e-12
1.650	0.8646531978	7.1e-12
1.660	0.8652494423	6.9e-12
1.670	0.8658736941	6.8e-12
1.680	0.8665251243	6.6e-12
1.690	0.8672029324	6.5e-12
1.700	0.8679063453	6.3e-12
1.710	0.8686346157	6.2e-12
1.720	0.8693870217	6.1e-12
1.730	0.8701628651	6.0e-12
1.740	0.8709614711	5.8e-12
1.750	0.8717821867	5.7e-12
1.760	0.8726243804	5.6e-12
1.770	0.8734874411	5.5e-12
1.780	0.8743707773	5.4e-12
1.790	0.8752738163	5.3e-12
1.800	0.8761960037	5.2e-12
1.810	0.8771368024	5.1e-12
1.820	0.8780956922	5.0e-12
1.830	0.8790721690	4.9e-12
1.840	0.8800657443	4.8e-12
1.850	0.8810759445	4.7e-12
1.860	0.8821023105	4.6e-12
1.870	0.8831443968	4.5e-12
1.880	0.8842017717	4.5e-12
1.890	0.8852740162	4.4e-12
1.900	0.8863607235	4.3e-12
1.910	0.8874614992	4.2e-12
1.920	0.8885759600	4.2e-12
1.930	0.8897037342	4.1e-12
1.940	0.8908444604	4.0e-12
1.950	0.8919977879	4.0e-12
1.960	0.8931633759	3.9e-12
1.970	0.8943408931	3.8e-12
1.980	0.8955300179	3.8e-12
1.990	0.8967304373	3.7e-12
2.000	0.8979418472	3.7e-12
2.010	0.8991639520	3.6e-12
2.020	0.9003964641	3.5e-12
2.030	0.9016391037	3.5e-12
2.040	0.9028915987	8.5e-11
2.050	0.9041536844	8.0e-11
2.060	0.9054251030	7.5e-11
2.070	0.9067056037	7.1e-11
2.080	0.9079949424	6.6e-11
